id,title,work_role_id
T0589,Assist in the identification of intelligence collection shortfalls.,AN-ASA-001
T0593,Brief threat and/or target current situations.,AN-ASA-001
T0597,Collaborate with intelligence analysts/targeting organizations involved in related areas.,AN-ASA-001
T0615,Conduct in-depth research and analysis.,AN-ASA-001
T0617,Conduct nodal analysis.,AN-ASA-001
T0642,"Maintain awareness of internal and external cyber organization structures, strengths, and employments of staffing and technology. AN-ASA-001
T0660,Develop information requirements necessary for answering priority information requests.,AN-ASA-001
T0678,Engage customers to understand customers’ intelligence needs and wants.,AN-ASA-001
T0685,Evaluate threat decision-making processes.,AN-ASA-001
T0686,Identify threat vulnerabilities.,AN-ASA-001
T0687,Identify threats to Blue Force vulnerabilities.,AN-ASA-001
T0707,Generate requests for information.,AN-ASA-001
T0708,"Identify threat tactics, and methodologies. AN-ASA-001
T0710,"Identify and evaluate threat critical capabilities, requirements, and vulnerabilities. AN-ASA-001
T0713,Identify and submit intelligence requirements for the purposes of designating priority information requirements.,AN-ASA-001
T0718,Identify intelligence gaps and shortfalls.,AN-ASA-001
T0748,"Monitor and report changes in threat dispositions, activities, tactics, capabilities, objectives, etc. as related to designated cyber operations warning problem sets. AN-ASA-001
T0749,Monitor and report on validated threat activities.,AN-ASA-001
T0751,Monitor open source websites for hostile content directed towards organizational or partner interests.,AN-ASA-001
T0752,Monitor operational environment and report on adversarial activities which fulfill leadership’s priority information requirements.,AN-ASA-001
T0758,"Produce timely, fused, all-source cyber operations intelligence and/or indications and warnings intelligence products (e.g., threat assessments, briefings, intelligence studies, country studies). AN-ASA-001
T0761,Provide subject-matter expertise and support to planning/developmental forums and working groups as appropriate.,AN-ASA-001
T0771,Provide subject matter expertise to website characterizations.,AN-ASA-001
T0782,Provide analyses and support for effectiveness assessment.,AN-ASA-001
T0783,Provide current intelligence support to critical internal/external stakeholders as appropriate.,AN-ASA-001
T0785,"Provide evaluation and feedback necessary for improving intelligence production, intelligence reporting, collection requirements, and operations. AN-ASA-001
T0786,Provide information and assessments for the purposes of informing leadership and customers; developing and refining objectives; supporting operation planning and execution; and assessing the effects of operations.,AN-ASA-001
T0788,Provide input and assist in post-action effectiveness assessments.,AN-ASA-001
T0789,Provide input and assist in the development of plans and guidance.,AN-ASA-001
T0792,"Provide intelligence analysis and support to designated exercises, planning activities, and time sensitive operations. AN-ASA-001
T0797,Provide target recommendations which meet leadership objectives.,AN-ASA-001
T0800,"Provide timely notice of imminent or hostile intentions or activities which may impact organization objectives, resources, or capabilities. AN-ASA-001
T0805,Report intelligence-derived significant network events and intrusions.,AN-ASA-001
T0834,"Work closely with planners, intelligence analysts, and collection managers to ensure intelligence requirements and collection plans are accurate and up-to-date. AN-ASA-001
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  PR-VAM-001
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). PR-VAM-001
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  PR-VAM-001
K0004,Knowledge of cybersecurity and privacy principles.,PR-VAM-001
K0005,Knowledge of cyber threats and vulnerabilities. ,PR-VAM-001
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,PR-VAM-001
K0009,Knowledge of application vulnerabilities.,PR-VAM-001
K0019,Knowledge of cryptography and cryptographic key management concepts ,PR-VAM-001
K0021,Knowledge of data backup and recovery.,PR-VAM-001
K0033,"Knowledge of host/network access control mechanisms (e.g., access control list, capabilities lists). PR-VAM-001
K0044,"Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). PR-VAM-001
K0056,"Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML). PR-VAM-001
K0061,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]). PR-VAM-001
K0068,Knowledge of programming language structures and logic.,PR-VAM-001
K0070,"Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code). PR-VAM-001
K0089,Knowledge of systems diagnostic tools and fault identification techniques.,PR-VAM-001
K0106,Knowledge of what constitutes a network attack and a network attack’s relationship to both threats and vulnerabilities.,PR-VAM-001
K0139,Knowledge of interpreted and compiled computer languages.,PR-VAM-001
K0161,"Knowledge of different classes of attacks (e.g., passive, active, insider, close-in, distribution attacks). PR-VAM-001
K0162,"Knowledge of cyber attackers (e.g., script kiddies, insider threat, non-nation state sponsored, and nation sponsored). PR-VAM-001
K0167,"Knowledge of system administration, network, and operating system hardening techniques. PR-VAM-001
K0177,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks). PR-VAM-001
K0179,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth). PR-VAM-001
K0203,"Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model). PR-VAM-001
K0206,Knowledge of ethical hacking principles and techniques.,PR-VAM-001
K0210,Knowledge of data backup and restoration concepts.,PR-VAM-001
K0224,"Knowledge of system administration concepts for operating systems such as but not limited to Unix/Linux, IOS, Android, and Windows operating systems. PR-VAM-001
K0265,"Knowledge of infrastructure supporting information technology (IT) for safety, performance, and reliability. PR-VAM-001
K0287,Knowledge of an organization's information classification program and procedures for information compromise.,PR-VAM-001
K0301,"Knowledge of packet-level analysis using appropriate tools (e.g., Wireshark, tcpdump). PR-VAM-001
K0308,Knowledge of cryptology.,PR-VAM-001
K0332,"Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services. PR-VAM-001
K0342,"Knowledge of penetration testing principles, tools, and techniques. PR-VAM-001
K0344,Knowledge of an organization’s threat environment.,PR-VAM-001
K0624,Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list),PR-VAM-001
S0001,Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.,PR-VAM-001
S0009,WITHDRAWN: Skill in assessing the robustness of security systems and designs. (See S0027),PR-VAM-001
S0025,"Skill in detecting host and network based intrusions via intrusion detection technologies (e.g., Snort). PR-VAM-001
S0044,Skill in mimicking threat behaviors.,PR-VAM-001
S0051,Skill in the use of penetration testing tools and techniques.,PR-VAM-001
S0052,"Skill in the use of social engineering techniques. (e.g., phishing, baiting, tailgating, etc.). PR-VAM-001
S0081,"Skill in using network analysis tools to identify vulnerabilities. (e.g., fuzzing, nmap, etc.). PR-VAM-001
S0120,Skill in reviewing logs to identify evidence of past intrusions.,PR-VAM-001
S0137,Skill in conducting application vulnerability assessments.,PR-VAM-001
S0171,Skill in performing impact/risk assessments.,PR-VAM-001
S0364,Skill to develop insights about the context of an organization’s threat environment,PR-VAM-001
S0367,"Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). PR-VAM-001
A0001,Ability to identify systemic security issues based on the analysis of vulnerability and configuration data.,PR-VAM-001
A0044,"Ability to apply programming language structures (e.g., source code review) and logic. PR-VAM-001
A0120,Ability to share meaningful insights about the context of an organization’s threat environment that improve its risk management posture.,PR-VAM-001
A0123,"Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). PR-VAM-001
T0073,Develop new or identify existing awareness and training materials that are appropriate for intended audiences.,OV-TEA-002
T0101,Evaluate the effectiveness and comprehensiveness of existing training programs.,OV-TEA-002
T0224,"Review training documentation (e.g., Course Content Documents [CCD], lesson plans, student texts, examinations, Schedules of Instruction [SOI], and course descriptions). OV-TEA-002
T0230,Support the design and execution of exercise scenarios.,OV-TEA-002
T0247,"Write instructional materials (e.g., standard operating procedures, production manual) to provide detailed guidance to relevant portion of the workforce. OV-TEA-002
T0316,Develop or assist in the development of computer based training modules or classes.,OV-TEA-002
T0317,Develop or assist in the development of course assignments.,OV-TEA-002
T0318,Develop or assist in the development of course evaluations.,OV-TEA-002
T0319,Develop or assist in the development of grading and proficiency standards.,OV-TEA-002
T0320,"Assist in the development of individual/collective development, training, and/or remediation plans. OV-TEA-002
T0321,Develop or assist in the development of learning objectives and goals.,OV-TEA-002
T0322,Develop or assist in the development of on-the-job training materials or programs.,OV-TEA-002
T0323,Develop or assist in the development of written tests for measuring and assessing learner proficiency.,OV-TEA-002
T0352,Conduct learning needs assessments and identify requirements.,OV-TEA-002
T0365,Develop or assist in the development of training policies and protocols for cyber training.,OV-TEA-002
T0367,Develop the goals and objectives for cyber curriculum.,OV-TEA-002
T0381,Present technical information to technical and nontechnical audiences.,OV-TEA-002
T0382,Present data in creative formats.,OV-TEA-002
T0395,Write and publish after action reviews.,OV-TEA-002
T0443,Deliver training courses tailored to the audience and physical/virtual environments.,OV-TEA-002
T0444,"Apply concepts, procedures, software, equipment, and/or technology applications to students. OV-TEA-002
T0450,Design training curriculum and course content based on requirements.,OV-TEA-002
T0451,Participate in development of training curriculum and course content.,OV-TEA-002
T0467,"Ensure that training meets the goals and objectives for cybersecurity training, education, or awareness. OV-TEA-002
T0519,"Plan and coordinate the delivery of classroom techniques and formats (e.g., lectures, demonstrations, interactive exercises, multimedia presentations) for the most effective learning environment. OV-TEA-002
T0520,"Plan non-classroom educational techniques and formats (e.g., video courses, mentoring, web-based courses). OV-TEA-002
T0535,Recommend revisions to curriculum and course content based on feedback from previous training sessions.,OV-TEA-002
T0536,"Serve as an internal consultant and advisor in own area of expertise (e.g., technical, copyright, print media, electronic media). OV-TEA-002
T0926,"Develop or assist with the development of privacy training materials and other communications to increase employee understanding of company privacy policies, data handling practices and procedures and legal obligations. OV-TEA-002
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  PR-CIR-001
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). PR-CIR-001
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  PR-CIR-001
K0004,Knowledge of cybersecurity and privacy principles.,PR-CIR-001
K0005,Knowledge of cyber threats and vulnerabilities. ,PR-CIR-001
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,PR-CIR-001
K0021,Knowledge of data backup and recovery.,PR-CIR-001
K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.,PR-CIR-001
K0033,"Knowledge of host/network access control mechanisms (e.g., access control list, capabilities lists). PR-CIR-001
K0034,Knowledge of network services and protocols interactions that provide network communications.,PR-CIR-001
K0041,"Knowledge of incident categories, incident responses, and timelines for responses. PR-CIR-001
K0042,Knowledge of incident response and handling methodologies.,PR-CIR-001
K0046,Knowledge of intrusion detection methodologies and techniques for detecting host and network-based intrusions.,PR-CIR-001
K0058,Knowledge of network traffic analysis methods.,PR-CIR-001
K0062,Knowledge of packet-level analysis.,PR-CIR-001
K0070,"Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code). PR-CIR-001
K0106,Knowledge of what constitutes a network attack and a network attack’s relationship to both threats and vulnerabilities.,PR-CIR-001
K0157,"Knowledge of cyber defense and information security policies, procedures, and regulations. PR-CIR-001
K0161,"Knowledge of different classes of attacks (e.g., passive, active, insider, close-in, distribution attacks). PR-CIR-001
K0162,"Knowledge of cyber attackers (e.g., script kiddies, insider threat, non-nation state sponsored, and nation sponsored). PR-CIR-001
K0167,"Knowledge of system administration, network, and operating system hardening techniques. PR-CIR-001
K0177,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks). PR-CIR-001
K0179,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth). PR-CIR-001
K0221,"Knowledge of OSI model and underlying network protocols (e.g., TCP/IP). PR-CIR-001
K0230,Knowledge of cloud service models and how those models can limit incident response.,PR-CIR-001
K0259,Knowledge of malware analysis concepts and methodologies.,PR-CIR-001
K0287,Knowledge of an organization's information classification program and procedures for information compromise.,PR-CIR-001
K0332,"Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services. PR-CIR-001
K0565,"Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications. PR-CIR-001
K0624,Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list),PR-CIR-001
S0003,"Skill of identifying, capturing, containing, and reporting malware. PR-CIR-001
S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.,PR-CIR-001
S0077,Skill in securing network communications.,PR-CIR-001
S0078,Skill in recognizing and categorizing types of vulnerabilities and associated attacks.,PR-CIR-001
S0079,"Skill in protecting a network against malware. (e.g., NIPS, anti-malware, restrict/prevent external devices, spam filters). PR-CIR-001
S0080,Skill in performing damage assessments.,PR-CIR-001
S0173,Skill in using security event correlation tools.,PR-CIR-001
S0365,Skill to design incident response for cloud service models.,PR-CIR-001
A0121,Ability to design incident response for cloud service models.,PR-CIR-001
A0128,Ability to apply techniques for detecting host and network-based intrusions using intrusion detection technologies.,PR-CIR-001
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  AN-LNG-001
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). AN-LNG-001
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  AN-LNG-001
K0004,Knowledge of cybersecurity and privacy principles.,AN-LNG-001
K0005,Knowledge of cyber threats and vulnerabilities. ,AN-LNG-001
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,AN-LNG-001
K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless). AN-LNG-001
K0143,"Knowledge of front-end collection systems, including traffic collection, filtering, and selection. AN-LNG-001
K0177,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks). AN-LNG-001
K0356,"Knowledge of analytic tools and techniques for language, voice and/or graphic material. AN-LNG-001
K0359,Knowledge of approved intelligence dissemination processes.,AN-LNG-001
K0377,"Knowledge of classification and control markings standards, policies and procedures. AN-LNG-001
K0391,"Knowledge of collection systems, capabilities, and processes.  AN-LNG-001
K0396,"Knowledge of computer programming concepts, including computer languages, programming, testing, debugging, and file types.  AN-LNG-001
K0398,"Knowledge of concepts related to websites (e.g., web servers/pages, hosting, DNS, registration, web languages such as HTML). AN-LNG-001
K0407,Knowledge of customer information needs.,AN-LNG-001
K0413,"Knowledge of cyber operation objectives, policies, and legalities.  AN-LNG-001
K0416,Knowledge of cyber operations.,AN-LNG-001
K0417,"Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media). AN-LNG-001
K0431,Knowledge of evolving/emerging communications technologies.,AN-LNG-001
K0449,"Knowledge of how to extract, analyze, and use metadata. AN-LNG-001
K0462,"Knowledge of intelligence reporting principles, policies, procedures, and vehicles, including report formats, reportability criteria (requirements and priorities), dissemination practices, and legal authorities and restrictions. AN-LNG-001
K0476,Knowledge of language processing tools and techniques.,AN-LNG-001
K0487,"Knowledge of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection). AN-LNG-001
K0488,"Knowledge of network security implementations (e.g., host-based IDS, IPS, access control lists), including their function and placement in a network. AN-LNG-001
K0491,"Knowledge of networking and Internet communications fundamentals (i.e. devices, device configuration, hardware, software, applications, ports/protocols, addressing, network architecture and infrastructure, routing, operating systems, etc.).  AN-LNG-001
K0493,"Knowledge of obfuscation techniques (e.g., TOR/Onion/anonymizers, VPN/VPS, encryption). AN-LNG-001
K0499,Knowledge of operations security.,AN-LNG-001
K0520,"Knowledge of principles and practices related to target development such as target knowledge, associations, communication systems, and infrastructure. AN-LNG-001
K0524,"Knowledge of relevant laws, regulations, and policies. AN-LNG-001
K0532,"Knowledge of specialized target language (e.g., acronyms, jargon, technical terminology, code words). AN-LNG-001
K0539,"Knowledge of target communication profiles and their key elements (e.g., target associations, activities, communication infrastructure). AN-LNG-001
K0540,Knowledge of target communication tools and techniques.,AN-LNG-001
K0541,"Knowledge of target cultural references, dialects, expressions, idioms, and abbreviations. AN-LNG-001
K0545,Knowledge of target language(s).,AN-LNG-001
K0548,Knowledge of target or threat cyber actors and procedures.,AN-LNG-001
K0550,"Knowledge of target, including related current events, communication profile, actors, and history (language, culture) and/or frame of reference. AN-LNG-001
K0564,"Knowledge of the characteristics of targeted communication networks (e.g., capacity, functionality, paths, critical nodes). AN-LNG-001
K0567,Knowledge of the data flow from collection origin to repositories and tools. ,AN-LNG-001
K0571,Knowledge of the feedback cycle in collection processes.,AN-LNG-001
K0574,Knowledge of the impact of language analysis on on-net operator functions.,AN-LNG-001
K0579,"Knowledge of the organization, roles and responsibilities of higher, lower and adjacent sub-elements. AN-LNG-001
K0596,Knowledge of the request for information process. ,AN-LNG-001
K0599,"Knowledge of the structure, architecture, and design of modern digital and telephony networks.  AN-LNG-001
K0600,"Knowledge of the structure, architecture, and design of modern wireless communications systems. AN-LNG-001
K0606,"Knowledge of transcript development processes and techniques (e.g., verbatim, gist, summaries). AN-LNG-001
K0607,Knowledge of translation processes and techniques.,AN-LNG-001
S0179,Skill in analyzing language processing tools to provide feedback to enhance tool development.,AN-LNG-001
S0184,Skill in analyzing traffic to identify network devices.,AN-LNG-001
S0187,"Skill in applying various analytical methods, tools, and techniques (e.g., competing hypotheses; chain of reasoning; scenario methods; denial and deception detection; high impact-low probability; network/association or link analysis; Bayesian, Delphi, and Pattern analyses). AN-LNG-001
S0188,"Skill in assessing a target's frame of reference (e.g., motivation, technical capability, organizational structure, sensitivities). AN-LNG-001
S0193,Skill in complying with the legal restrictions for targeted information.,AN-LNG-001
S0195,Skill in conducting research using all available sources.,AN-LNG-001
S0198,Skill in conducting social network analysis.,AN-LNG-001
S0210,Skill in developing intelligence reports.,AN-LNG-001
S0212,Skill in disseminating items of highest intelligence value in a timely manner.,AN-LNG-001
S0215,Skill in evaluating and interpreting metadata.,AN-LNG-001
S0217,"Skill in evaluating data sources for relevance, reliability, and objectivity. AN-LNG-001
S0218,"Skill in evaluating information for reliability, validity, and relevance. AN-LNG-001
S0224,Skill in gisting target communications.,AN-LNG-001
S0226,Skill in identifying a target's network characteristics. ,AN-LNG-001
S0232,Skill in identifying intelligence gaps and limitations.,AN-LNG-001
S0233,Skill in identifying language issues that may have an impact on organization objectives.,AN-LNG-001
S0235,Skill in identifying non-target regional languages and dialects,AN-LNG-001
S0241,"Skill in interpreting traceroute results, as they apply to network analysis and reconstruction.  AN-LNG-001
S0244,"Skill in managing client relationships, including determining client needs/requirements, managing client expectations, and demonstrating commitment to delivering quality results. AN-LNG-001
S0251,Skill in prioritizing target language material.,AN-LNG-001
S0253,"Skill in providing analysis on target-related matters (e.g., language, cultural, communications). AN-LNG-001
S0259,Skill in recognizing denial and deception techniques of the target.,AN-LNG-001
S0262,Skill in recognizing significant changes in a target’s communication patterns.,AN-LNG-001
S0265,Skill in recognizing technical information that may be used for target development including intelligence development. ,AN-LNG-001
S0277,"Skill in synthesizing, analyzing, and prioritizing meaning across data sets. AN-LNG-001
S0283,Skill in transcribing target language communications.,AN-LNG-001
S0284,Skill in translating target graphic and/or voice language materials.,AN-LNG-001
S0290,Skill in using non-attributable networks.,AN-LNG-001
A0013,"Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means.  AN-LNG-001
A0071,Ability to apply language and cultural expertise to analysis.,AN-LNG-001
A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise. AN-LNG-001
A0103,Ability to review processed target language materials for accuracy and completeness.,AN-LNG-001
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  PR-CDA-001
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). PR-CDA-001
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  PR-CDA-001
K0004,Knowledge of cybersecurity and privacy principles.,PR-CDA-001
K0005,Knowledge of cyber threats and vulnerabilities. ,PR-CDA-001
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,PR-CDA-001
K0007,"Knowledge of authentication, authorization, and access control methods. PR-CDA-001
K0013,Knowledge of cyber defense and vulnerability assessment tools and their capabilities.,PR-CDA-001
K0015,Knowledge of computer algorithms.,PR-CDA-001
K0018,Knowledge of encryption algorithms ,PR-CDA-001
K0019,Knowledge of cryptography and cryptographic key management concepts ,PR-CDA-001
K0024,Knowledge of database systems.,PR-CDA-001
K0033,"Knowledge of host/network access control mechanisms (e.g., access control list, capabilities lists). PR-CDA-001
K0040,"Knowledge of vulnerability information dissemination sources (e.g., alerts, advisories, errata, and bulletins). PR-CDA-001
K0042,Knowledge of incident response and handling methodologies.,PR-CDA-001
K0044,"Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). PR-CDA-001
K0046,Knowledge of intrusion detection methodologies and techniques for detecting host and network-based intrusions.,PR-CDA-001
K0049,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption).  PR-CDA-001
K0056,"Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML). PR-CDA-001
K0058,Knowledge of network traffic analysis methods.,PR-CDA-001
K0059,Knowledge of new and emerging information technology (IT) and cybersecurity technologies.,PR-CDA-001
K0060,Knowledge of operating systems.,PR-CDA-001
K0061,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]). PR-CDA-001
K0065,Knowledge of policy-based and risk adaptive access controls.,PR-CDA-001
K0070,"Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code). PR-CDA-001
K0074,"Knowledge of key concepts in security management (e.g., Release Management, Patch Management). PR-CDA-001
K0075,"Knowledge of security system design tools, methods, and techniques. PR-CDA-001
K0093,"Knowledge of telecommunications concepts (e.g., Communications channel, Systems Link Budgeting, Spectral efficiency, Multiplexing). PR-CDA-001
K0098,Knowledge of the cyber defense Service Provider reporting structure and processes within one’s own organization.,PR-CDA-001
K0104,Knowledge of Virtual Private Network (VPN) security.,PR-CDA-001
K0106,Knowledge of what constitutes a network attack and a network attack’s relationship to both threats and vulnerabilities.,PR-CDA-001
K0107,"Knowledge of Insider Threat investigations, reporting, investigative tools and laws/regulations. PR-CDA-001
K0110,"Knowledge of adversarial tactics, techniques, and procedures. PR-CDA-001
K0111,"Knowledge of network tools (e.g., ping, traceroute, nslookup)  PR-CDA-001
K0112,Knowledge of defense-in-depth principles and network security architecture.,PR-CDA-001
K0113,"Knowledge of different types of network communication (e.g., LAN, WAN, MAN, WLAN, WWAN). PR-CDA-001
K0116,"Knowledge of file extensions (e.g., .dll, .bat, .zip, .pcap, .gzip). PR-CDA-001
K0139,Knowledge of interpreted and compiled computer languages.,PR-CDA-001
K0142,"Knowledge of collection management processes, capabilities, and limitations. PR-CDA-001
K0143,"Knowledge of front-end collection systems, including traffic collection, filtering, and selection. PR-CDA-001
K0157,"Knowledge of cyber defense and information security policies, procedures, and regulations. PR-CDA-001
K0160,Knowledge of the common attack vectors on the network layer.,PR-CDA-001
K0161,"Knowledge of different classes of attacks (e.g., passive, active, insider, close-in, distribution attacks). PR-CDA-001
K0162,"Knowledge of cyber attackers (e.g., script kiddies, insider threat, non-nation state sponsored, and nation sponsored). PR-CDA-001
K0167,"Knowledge of system administration, network, and operating system hardening techniques. PR-CDA-001
K0168,"Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures. PR-CDA-001
K0177,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks). PR-CDA-001
K0179,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth). PR-CDA-001
K0180,"Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools. PR-CDA-001
K0190,Knowledge of encryption methodologies.,PR-CDA-001
K0191,"Knowledge of signature implementation impact for viruses, malware, and attacks. PR-CDA-001
K0192,Knowledge of Windows/Unix ports and services.,PR-CDA-001
K0203,"Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model). PR-CDA-001
K0221,"Knowledge of OSI model and underlying network protocols (e.g., TCP/IP). PR-CDA-001
K0222,"Knowledge of relevant laws, legal authorities, restrictions, and regulations pertaining to cyber defense activities. PR-CDA-001
K0260,Knowledge of Personally Identifiable Information (PII) data security standards.,PR-CDA-001
K0261,Knowledge of Payment Card Industry (PCI) data security standards.,PR-CDA-001
K0262,Knowledge of Personal Health Information (PHI) data security standards.,PR-CDA-001
K0290,Knowledge of systems security testing and evaluation methods.,PR-CDA-001
K0297,Knowledge of countermeasure design for identified security risks.,PR-CDA-001
K0300,Knowledge of network mapping and recreating network topologies.,PR-CDA-001
K0301,"Knowledge of packet-level analysis using appropriate tools (e.g., Wireshark, tcpdump). PR-CDA-001
K0303,Knowledge of the use of sub-netting tools.,PR-CDA-001
K0318,Knowledge of operating system command-line tools.,PR-CDA-001
K0322,Knowledge of embedded systems.,PR-CDA-001
K0324,Knowledge of Intrusion Detection System (IDS)/Intrusion Prevention System (IPS) tools and applications.,PR-CDA-001
K0332,"Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services. PR-CDA-001
K0339,Knowledge of how to use network analysis tools to identify vulnerabilities.,PR-CDA-001
K0342,"Knowledge of penetration testing principles, tools, and techniques. PR-CDA-001
K0624,Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list),PR-CDA-001
S0020,Skill in developing and deploying signatures.,PR-CDA-001
S0025,"Skill in detecting host and network based intrusions via intrusion detection technologies (e.g., Snort). PR-CDA-001
S0027,"Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes. PR-CDA-001
S0036,Skill in evaluating the adequacy of security designs.,PR-CDA-001
S0054,Skill in using incident handling methodologies.,PR-CDA-001
S0057,Skill in using protocol analyzers.,PR-CDA-001
S0063,Skill in collecting data from a variety of cyber defense resources.,PR-CDA-001
S0078,Skill in recognizing and categorizing types of vulnerabilities and associated attacks.,PR-CDA-001
S0096,"Skill in reading and interpreting signatures (e.g., snort). PR-CDA-001
S0147,"Skill in assessing security controls based on cybersecurity principles and tenets. (e.g., CIS CSC, NIST SP 800-53, Cybersecurity Framework, etc.). PR-CDA-001
S0156,Skill in performing packet-level analysis.,PR-CDA-001
S0167,"Skill in recognizing vulnerabilities in security systems. (e.g., vulnerability and compliance scanning). PR-CDA-001
S0169,Skill in conducting trend analysis.,PR-CDA-001
S0367,"Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). PR-CDA-001
S0370,Skill to use cyber defense Service Provider reporting structure and processes within one’s own organization.,PR-CDA-001
A0010,Ability to analyze malware.,PR-CDA-001
A0015,Ability to conduct vulnerability scans and recognize vulnerabilities in security systems.,PR-CDA-001
A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products. PR-CDA-001
A0123,"Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). PR-CDA-001
