Major Group,Minor Group,Broad Occupation,Detailed Occupation,Detailed O*NET-SOC,SOC or O*NET-SOC 2019 Title
19-0000,19-3000,19-3010,19-3011,19-2099.01,Economists
19-0000,19-3000,19-3010,19-3011,19-3011.01,Environmental Economists
19-0000,19-3000,19-3020,19-3011,19-3011.01,Survey Researchers
19-0000,19-3000,19-3020,19-3022,19-3011.01,Survey Researchers
19-0000,19-3000,19-3030,19-3022,19-3011.01,Psychologists
19-0000,19-3000,19-3030,19-3032,19-3011.01,Industrial-Organizational Psychologists
19-0000,19-3000,19-3030,19-3033,19-3011.01,Clinical and Counseling Psychologists
19-0000,19-3000,19-3030,19-3034,19-3011.01,School Psychologists
19-0000,19-3000,19-3030,19-3039,19-3011.01,"Psychologists, All Other"
19-0000,19-3000,19-3030,19-3039,19-3039.02,Neuropsychologists
19-0000,19-3000,19-3030,19-3039,19-3039.03,Clinical Neuropsychologists
19-0000,19-3000,19-3040,19-3039,19-3039.03,Sociologists
19-0000,19-3000,19-3040,19-3041,19-3039.03,Sociologists
19-0000,19-3000,19-3050,19-3041,19-3039.03,Urban and Regional Planners
19-0000,19-3000,19-3050,19-3051,19-3039.03,Urban and Regional Planners
19-0000,19-3000,19-3090,19-3051,19-3039.03,Miscellaneous Social Scientists and Related Workers
19-0000,19-3000,19-3090,19-3091,19-3039.03,Anthropologists and Archeologists
19-0000,19-3000,19-3090,19-3092,19-3039.03,Geographers
19-0000,19-3000,19-3090,19-3093,19-3039.03,Historians
19-0000,19-3000,19-3090,19-3094,19-3039.03,Political Scientists
19-0000,19-3000,19-3090,19-3099,19-3039.03,"Social Scientists and Related Workers, All Other"
19-0000,19-3000,19-3090,19-3099,19-3099.01,Transportation Planners
19-0000,19-4000,19-3090,19-3099,19-3099.01,"Life, Physical, and Social Science Technicians"
19-0000,19-4000,19-4010,19-3099,19-3099.01,Agricultural and Food Science Technicians
19-0000,19-4000,19-4010,19-4012,19-3099.01,Agricultural Technicians
19-0000,19-4000,19-4010,19-4012,19-4012.01,Precision Agriculture Technicians
19-0000,19-4000,19-4010,19-4013,19-4012.01,Food Science Technicians
19-0000,19-4000,19-4020,19-4013,19-4012.01,Biological Technicians
19-0000,19-4000,19-4020,19-4021,19-4012.01,Biological Technicians
19-0000,19-4000,19-4030,19-4021,19-4012.01,Chemical Technicians
19-0000,19-4000,19-4030,19-4031,19-4012.01,Chemical Technicians
19-0000,19-4000,19-4040,19-4031,19-4012.01,Environmental Science and Geoscience Technicians
19-0000,19-4000,19-4040,19-4042,19-4012.01,"Environmental Science and Protection Technicians, Including Health"
19-0000,19-4000,19-4040,19-4043,19-4012.01,"Geological Technicians, Except Hydrologic Technicians"
19-0000,19-4000,19-4040,19-4044,19-4012.01,Hydrologic Technicians
19-0000,19-4000,19-4050,19-4044,19-4012.01,Nuclear Technicians
19-0000,19-4000,19-4050,19-4051,19-4012.01,Nuclear Technicians
19-0000,19-4000,19-4050,19-4051,19-4051.02,Nuclear Monitoring Technicians
19-0000,19-4000,19-4060,19-4051,19-4051.02,Social Science Research Assistants
19-0000,19-4000,19-4060,19-4061,19-4051.02,Social Science Research Assistants
19-0000,19-4000,19-4070,19-4061,19-4051.02,Forest and Conservation Technicians
19-0000,19-4000,19-4070,19-4071,19-4051.02,Forest and Conservation Technicians
19-0000,19-4000,19-4090,19-4071,19-4051.02,"Miscellaneous Life, Physical, and Social Science Technicians"
19-0000,19-4000,19-4090,19-4092,19-4051.02,Forensic Science Technicians
19-0000,19-4000,19-4090,19-4099,19-4051.02,"Life, Physical, and Social Science Technicians, All Other"
19-0000,19-4000,19-4090,19-4099,19-4099.01,Quality Control Analysts
19-0000,19-4000,19-4090,19-4099,19-4099.03,Remote Sensing Technicians
19-0000,19-5000,19-4090,19-4099,19-4099.03,Occupational Health and Safety Specialists and Technicians
19-0000,19-5000,19-5010,19-4099,19-4099.03,Occupational Health and Safety Specialists and Technicians
19-0000,19-5000,19-5010,19-5011,19-4099.03,Occupational Health and Safety Specialists
19-0000,19-5000,19-5010,19-5012,19-4099.03,Occupational Health and Safety Technicians
21-0000,19-5000,19-5010,19-5012,19-4099.03,Community and Social Service Occupations
21-0000,21-1000,19-5010,19-5012,19-4099.03,"Counselors, Social Workers, and Other Community and Social Service Specialists"
21-0000,21-1000,21-1010,19-5012,19-4099.03,Counselors
21-0000,21-1000,21-1010,21-1011,19-4099.03,Substance Abuse and Behavioral Disorder Counselors
21-0000,21-1000,21-1010,21-1012,19-4099.03,"Educational, Guidance, and Career Counselors and Advisors"
21-0000,21-1000,21-1010,21-1013,19-4099.03,Marriage and Family Therapists
21-0000,21-1000,21-1010,21-1014,19-4099.03,Mental Health Counselors
21-0000,21-1000,21-1010,21-1015,19-4099.03,Rehabilitation Counselors
21-0000,21-1000,21-1010,21-1019,19-4099.03,"Counselors, All Other"
21-0000,21-1000,21-1020,21-1019,19-4099.03,Social Workers
21-0000,21-1000,21-1020,21-1021,19-4099.03,"Child, Family, and School Social Workers"
21-0000,21-1000,21-1020,21-1022,19-4099.03,Healthcare Social Workers
21-0000,21-1000,21-1020,21-1023,19-4099.03,Mental Health and Substance Abuse Social Workers
21-0000,21-1000,21-1020,21-1029,19-4099.03,"Social Workers, All Other"
21-0000,21-1000,21-1090,21-1029,19-4099.03,Miscellaneous Community and Social Service Specialists
21-0000,21-1000,21-1090,21-1091,19-4099.03,Health Education Specialists
21-0000,21-1000,21-1090,21-1092,19-4099.03,Probation Officers and Correctional Treatment Specialists
21-0000,21-1000,21-1090,21-1093,19-4099.03,Social and Human Service Assistants
21-0000,21-1000,21-1090,21-1094,19-4099.03,Community Health Workers
21-0000,21-1000,21-1090,21-1099,19-4099.03,"Community and Social Service Specialists, All Other"
21-0000,21-2000,21-1090,21-1099,19-4099.03,Religious Workers
21-0000,21-2000,21-2010,21-1099,19-4099.03,Clergy
21-0000,21-2000,21-2010,21-2011,19-4099.03,Clergy
21-0000,21-2000,21-2020,21-2011,19-4099.03,"Directors, Religious Activities and Education"
21-0000,21-2000,21-2020,21-2021,19-4099.03,"Directors, Religious Activities and Education"
21-0000,21-2000,21-2090,21-2021,19-4099.03,Miscellaneous Religious Workers
21-0000,21-2000,21-2090,21-2099,19-4099.03,"Religious Workers, All Other"
23-0000,21-2000,21-2090,21-2099,19-4099.03,Legal Occupations
23-0000,23-1000,21-2090,21-2099,19-4099.03,"Lawyers, Judges, and Related Workers"
23-0000,23-1000,23-1010,21-2099,19-4099.03,Lawyers and Judicial Law Clerks
23-0000,23-1000,23-1010,23-1011,19-4099.03,Lawyers
23-0000,23-1000,23-1010,23-1012,19-4099.03,Judicial Law Clerks
23-0000,23-1000,23-1020,23-1012,19-4099.03,"Judges, Magistrates, and Other Judicial Workers"
23-0000,23-1000,23-1020,23-1021,19-4099.03,"Administrative Law Judges, Adjudicators, and Hearing Officers"
23-0000,23-1000,23-1020,23-1022,19-4099.03,"Arbitrators, Mediators, and Conciliators"
23-0000,23-1000,23-1020,23-1023,19-4099.03,"Judges, Magistrate Judges, and Magistrates"
23-0000,23-2000,23-1020,23-1023,19-4099.03,Legal Support Workers
23-0000,23-2000,23-2010,23-1023,19-4099.03,Paralegals and Legal Assistants
23-0000,23-2000,23-2010,23-2011,19-4099.03,Paralegals and Legal Assistants
23-0000,23-2000,23-2090,23-2011,19-4099.03,Miscellaneous Legal Support Workers
23-0000,23-2000,23-2090,23-2093,19-4099.03,"Title Examiners, Abstractors, and Searchers"
23-0000,23-2000,23-2090,23-2099,19-4099.03,"Legal Support Workers, All Other"
25-0000,23-2000,23-2090,23-2099,19-4099.03,Educational Instruction and Library Occupations
25-0000,25-1000,23-2090,23-2099,19-4099.03,Postsecondary Teachers
25-0000,25-1000,25-1010,23-2099,19-4099.03,"Business Teachers, Postsecondary"
25-0000,25-1000,25-1010,25-1011,19-4099.03,"Business Teachers, Postsecondary"
25-0000,25-1000,25-1020,25-1011,19-4099.03,"Math and Computer Science Teachers, Postsecondary"
25-0000,25-1000,25-1020,25-1021,19-4099.03,"Computer Science Teachers, Postsecondary"
25-0000,25-1000,25-1020,25-1022,19-4099.03,"Mathematical Science Teachers, Postsecondary"
25-0000,25-1000,25-1030,25-1022,19-4099.03,"Engineering and Architecture Teachers, Postsecondary"
25-0000,25-1000,25-1030,25-1031,19-4099.03,"Architecture Teachers, Postsecondary"
25-0000,25-1000,25-1030,25-1032,19-4099.03,"Engineering Teachers, Postsecondary"
25-0000,25-1000,25-1040,25-1032,19-4099.03,"Life Sciences Teachers, Postsecondary"
25-0000,25-1000,25-1040,25-1041,19-4099.03,"Agricultural Sciences Teachers, Postsecondary"
25-0000,25-1000,25-1040,25-1042,19-4099.03,"Biological Science Teachers, Postsecondary"
25-0000,25-1000,25-1040,25-1043,19-4099.03,"Forestry and Conservation Science Teachers, Postsecondary"
25-0000,25-1000,25-1050,25-1043,19-4099.03,"Physical Sciences Teachers, Postsecondary"
25-0000,25-1000,25-1050,25-1051,19-4099.03,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
25-0000,25-1000,25-1050,25-1052,19-4099.03,"Chemistry Teachers, Postsecondary"
25-0000,25-1000,25-1050,25-1053,19-4099.03,"Environmental Science Teachers, Postsecondary"
25-0000,25-1000,25-1050,25-1054,19-4099.03,"Physics Teachers, Postsecondary"
25-0000,25-1000,25-1060,25-1054,19-4099.03,"Social Sciences Teachers, Postsecondary"
25-0000,25-1000,25-1060,25-1061,19-4099.03,"Anthropology and Archeology Teachers, Postsecondary"
25-0000,25-1000,25-1060,25-1062,19-4099.03,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
25-0000,25-1000,25-1060,25-1063,19-4099.03,"Economics Teachers, Postsecondary"
25-0000,25-1000,25-1060,25-1064,19-4099.03,"Geography Teachers, Postsecondary"
25-0000,25-1000,25-1060,25-1065,19-4099.03,"Political Science Teachers, Postsecondary"
25-0000,25-1000,25-1060,25-1066,19-4099.03,"Psychology Teachers, Postsecondary"
25-0000,25-1000,25-1060,25-1067,19-4099.03,"Sociology Teachers, Postsecondary"
25-0000,25-1000,25-1060,25-1069,19-4099.03,"Social Sciences Teachers, Postsecondary, All Other"
25-0000,25-1000,25-1070,25-1069,19-4099.03,"Health Teachers, Postsecondary"
25-0000,25-1000,25-1070,25-1071,19-4099.03,"Health Specialties Teachers, Postsecondary"
25-0000,25-1000,25-1070,25-1072,19-4099.03,"Nursing Instructors and Teachers, Postsecondary"
25-0000,25-1000,25-1080,25-1072,19-4099.03,"Education and Library Science Teachers, Postsecondary"
25-0000,25-1000,25-1080,25-1081,19-4099.03,"Education Teachers, Postsecondary"
25-0000,25-1000,25-1080,25-1082,19-4099.03,"Library Science Teachers, Postsecondary"
25-0000,25-1000,25-1110,25-1082,19-4099.03,"Law, Criminal Justice, and Social Work Teachers, Postsecondary"
25-0000,25-1000,25-1110,25-1111,19-4099.03,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
25-0000,25-1000,25-1110,25-1112,19-4099.03,"Law Teachers, Postsecondary"
25-0000,25-1000,25-1110,25-1113,19-4099.03,"Social Work Teachers, Postsecondary"
25-0000,25-1000,25-1120,25-1113,19-4099.03,"Arts, Communications, History, and Humanities Teachers, Postsecondary"
25-0000,25-1000,25-1120,25-1121,19-4099.03,"Art, Drama, and Music Teachers, Postsecondary"
25-0000,25-1000,25-1120,25-1122,19-4099.03,"Communications Teachers, Postsecondary"
25-0000,25-1000,25-1120,25-1123,19-4099.03,"English Language and Literature Teachers, Postsecondary"
25-0000,25-1000,25-1120,25-1124,19-4099.03,"Foreign Language and Literature Teachers, Postsecondary"
25-0000,25-1000,25-1120,25-1125,19-4099.03,"History Teachers, Postsecondary"
25-0000,25-1000,25-1120,25-1126,19-4099.03,"Philosophy and Religion Teachers, Postsecondary"
25-0000,25-1000,25-1190,25-1126,19-4099.03,Miscellaneous Postsecondary Teachers
25-0000,25-1000,25-1190,25-1192,19-4099.03,"Family and Consumer Sciences Teachers, Postsecondary"
25-0000,25-1000,25-1190,25-1193,19-4099.03,"Recreation and Fitness Studies Teachers, Postsecondary"
25-0000,25-1000,25-1190,25-1194,19-4099.03,"Career/Technical Education Teachers, Postsecondary"
25-0000,25-1000,25-1190,25-1199,19-4099.03,"Postsecondary Teachers, All Other"
25-0000,25-2000,25-1190,25-1199,19-4099.03,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
25-0000,25-2000,25-2010,25-1199,19-4099.03,Preschool and Kindergarten Teachers
25-0000,25-2000,25-2010,25-2011,19-4099.03,"Preschool Teachers, Except Special Education"
25-0000,25-2000,25-2010,25-2012,19-4099.03,"Kindergarten Teachers, Except Special Education"
25-0000,25-2000,25-2020,25-2012,19-4099.03,Elementary and Middle School Teachers
25-0000,25-2000,25-2020,25-2021,19-4099.03,"Elementary School Teachers, Except Special Education"
25-0000,25-2000,25-2020,25-2022,19-4099.03,"Middle School Teachers, Except Special and Career/Technical Education"
25-0000,25-2000,25-2020,25-2023,19-4099.03,"Career/Technical Education Teachers, Middle School"
25-0000,25-2000,25-2030,25-2023,19-4099.03,Secondary School Teachers
25-0000,25-2000,25-2030,25-2031,19-4099.03,"Secondary School Teachers, Except Special and Career/Technical Education"
25-0000,25-2000,25-2030,25-2032,19-4099.03,"Career/Technical Education Teachers, Secondary School"
25-0000,25-2000,25-2050,25-2032,19-4099.03,Special Education Teachers
25-0000,25-2000,25-2050,25-2051,19-4099.03,"Special Education Teachers, Preschool"
25-0000,25-2000,25-2050,25-2055,19-4099.03,"Special Education Teachers, Kindergarten"
25-0000,25-2000,25-2050,25-2056,19-4099.03,"Special Education Teachers, Elementary School"
25-0000,25-2000,25-2050,25-2057,19-4099.03,"Special Education Teachers, Middle School"
25-0000,25-2000,25-2050,25-2058,19-4099.03,"Special Education Teachers, Secondary School"
25-0000,25-2000,25-2050,25-2059,19-4099.03,"Special Education Teachers, All Other"
25-0000,25-2000,25-2050,25-2059,25-2059.01,Adapted Physical Education Specialists
25-0000,25-3000,25-2050,25-2059,25-2059.01,Other Teachers and Instructors
25-0000,25-3000,25-3010,25-2059,25-2059.01,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
25-0000,25-3000,25-3010,25-3011,25-2059.01,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
25-0000,25-3000,25-3020,25-3011,25-2059.01,Self-Enrichment Teachers
25-0000,25-3000,25-3020,25-3021,25-2059.01,Self-Enrichment Teachers
25-0000,25-3000,25-3030,25-3021,25-2059.01,"Substitute Teachers, Short-Term"
25-0000,25-3000,25-3030,25-3031,25-2059.01,"Substitute Teachers, Short-Term"
25-0000,25-3000,25-3040,25-3031,25-2059.01,Tutors
25-0000,25-3000,25-3040,25-3041,25-2059.01,Tutors
25-0000,25-3000,25-3090,25-3041,25-2059.01,Miscellaneous Teachers and Instructors
25-0000,25-3000,25-3090,25-3099,25-2059.01,"Teachers and Instructors, All Other"
25-0000,25-4000,25-3090,25-3099,25-2059.01,"Librarians, Curators, and Archivists"
25-0000,25-4000,25-4010,25-3099,25-2059.01,"Archivists, Curators, and Museum Technicians"
25-0000,25-4000,25-4010,25-4011,25-2059.01,Archivists
25-0000,25-4000,25-4010,25-4012,25-2059.01,Curators
25-0000,25-4000,25-4010,25-4013,25-2059.01,Museum Technicians and Conservators
25-0000,25-4000,25-4020,25-4013,25-2059.01,Librarians and Media Collections Specialists
25-0000,25-4000,25-4020,25-4022,25-2059.01,Librarians and Media Collections Specialists
25-0000,25-4000,25-4030,25-4022,25-2059.01,Library Technicians
25-0000,25-4000,25-4030,25-4031,25-2059.01,Library Technicians
25-0000,25-9000,25-4030,25-4031,25-2059.01,Other Educational Instruction and Library Occupations
25-0000,25-9000,25-9020,25-4031,25-2059.01,Farm and Home Management Educators
25-0000,25-9000,25-9020,25-9021,25-2059.01,Farm and Home Management Educators
25-0000,25-9000,25-9030,25-9021,25-2059.01,Instructional Coordinators
25-0000,25-9000,25-9030,25-9031,25-2059.01,Instructional Coordinators
25-0000,25-9000,25-9040,25-9031,25-2059.01,Teaching Assistants
25-0000,25-9000,25-9040,25-9042,25-2059.01,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
25-0000,25-9000,25-9040,25-9043,25-2059.01,"Teaching Assistants, Special Education"
25-0000,25-9000,25-9040,25-9044,25-2059.01,"Teaching Assistants, Postsecondary"
25-0000,25-9000,25-9040,25-9049,25-2059.01,"Teaching Assistants, All Other"
25-0000,25-9000,25-9090,25-9049,25-2059.01,Miscellaneous Educational Instruction and Library Workers
25-0000,25-9000,25-9090,25-9099,25-2059.01,"Educational Instruction and Library Workers, All Other"
27-0000,25-9000,25-9090,25-9099,25-2059.01,"Arts, Design, Entertainment, Sports, and Media Occupations"
27-0000,27-1000,25-9090,25-9099,25-2059.01,Art and Design Workers
27-0000,27-1000,27-1010,25-9099,25-2059.01,Artists and Related Workers
27-0000,27-1000,27-1010,27-1011,25-2059.01,Art Directors
27-0000,27-1000,27-1010,27-1012,25-2059.01,Craft Artists
27-0000,27-1000,27-1010,27-1013,25-2059.01,"Fine Artists, Including Painters, Sculptors, and Illustrators"
27-0000,27-1000,27-1010,27-1014,25-2059.01,Special Effects Artists and Animators
27-0000,27-1000,27-1010,27-1019,25-2059.01,"Artists and Related Workers, All Other"
27-0000,27-1000,27-1020,27-1019,25-2059.01,Designers
27-0000,27-1000,27-1020,27-1021,25-2059.01,Commercial and Industrial Designers
27-0000,27-1000,27-1020,27-1022,25-2059.01,Fashion Designers
27-0000,27-1000,27-1020,27-1023,25-2059.01,Floral Designers
27-0000,27-1000,27-1020,27-1024,25-2059.01,Graphic Designers
27-0000,27-1000,27-1020,27-1025,25-2059.01,Interior Designers
27-0000,27-1000,27-1020,27-1026,25-2059.01,Merchandise Displayers and Window Trimmers
27-0000,27-1000,27-1020,27-1027,25-2059.01,Set and Exhibit Designers
27-0000,27-1000,27-1020,27-1029,25-2059.01,"Designers, All Other"
27-0000,27-2000,27-1020,27-1029,25-2059.01,"Entertainers and Performers, Sports and Related Workers"
27-0000,27-2000,27-2010,27-1029,25-2059.01,"Actors, Producers, and Directors"
27-0000,27-2000,27-2010,27-2011,25-2059.01,Actors
27-0000,27-2000,27-2010,27-2012,25-2059.01,Producers and Directors
27-0000,27-2000,27-2010,27-2012,27-2012.03,Media Programming Directors
27-0000,27-2000,27-2010,27-2012,27-2012.04,Talent Directors
27-0000,27-2000,27-2010,27-2012,27-2012.05,Media Technical Directors/Managers
27-0000,27-2000,27-2020,27-2012,27-2012.05,"Athletes, Coaches, Umpires, and Related Workers"
27-0000,27-2000,27-2020,27-2021,27-2012.05,Athletes and Sports Competitors
27-0000,27-2000,27-2020,27-2022,27-2012.05,Coaches and Scouts
27-0000,27-2000,27-2020,27-2023,27-2012.05,"Umpires, Referees, and Other Sports Officials"
27-0000,27-2000,27-2030,27-2023,27-2012.05,Dancers and Choreographers
27-0000,27-2000,27-2030,27-2031,27-2012.05,Dancers
27-0000,27-2000,27-2030,27-2032,27-2012.05,Choreographers
27-0000,27-2000,27-2040,27-2032,27-2012.05,"Musicians, Singers, and Related Workers"
27-0000,27-2000,27-2040,27-2041,27-2012.05,Music Directors and Composers
27-0000,27-2000,27-2040,27-2042,27-2012.05,Musicians and Singers
27-0000,27-2000,27-2090,27-2042,27-2012.05,"Miscellaneous Entertainers and Performers, Sports and Related Workers"
27-0000,27-2000,27-2090,27-2091,27-2012.05,"Disc Jockeys, Except Radio"
27-0000,27-2000,27-2090,27-2099,27-2012.05,"Entertainers and Performers, Sports and Related Workers, All Other"
27-0000,27-3000,27-2090,27-2099,27-2012.05,Media and Communication Workers
27-0000,27-3000,27-3010,27-2099,27-2012.05,Broadcast Announcers and Radio Disc Jockeys
27-0000,27-3000,27-3010,27-3011,27-2012.05,Broadcast Announcers and Radio Disc Jockeys
27-0000,27-3000,27-3020,27-3011,27-2012.05,"News Analysts, Reporters and Journalists"
27-0000,27-3000,27-3020,27-3023,27-2012.05,"News Analysts, Reporters, and Journalists"
27-0000,27-3000,27-3030,27-3023,27-2012.05,Public Relations Specialists
27-0000,27-3000,27-3030,27-3031,27-2012.05,Public Relations Specialists
27-0000,27-3000,27-3040,27-3031,27-2012.05,Writers and Editors
27-0000,27-3000,27-3040,27-3041,27-2012.05,Editors
27-0000,27-3000,27-3040,27-3042,27-2012.05,Technical Writers
27-0000,27-3000,27-3040,27-3043,27-2012.05,Writers and Authors
27-0000,27-3000,27-3040,27-3043,27-3043.05,"Poets, Lyricists and Creative Writers"
27-0000,27-3000,27-3090,27-3043,27-3043.05,Miscellaneous Media and Communication Workers
27-0000,27-3000,27-3090,27-3091,27-3043.05,Interpreters and Translators
27-0000,27-3000,27-3090,27-3092,27-3043.05,Court Reporters and Simultaneous Captioners
27-0000,27-3000,27-3090,27-3099,27-3043.05,"Media and Communication Workers, All Other"
27-0000,27-4000,27-3090,27-3099,27-3043.05,Media and Communication Equipment Workers
27-0000,27-4000,27-4010,27-3099,27-3043.05,"Broadcast, Sound, and Lighting Technicians"
27-0000,27-4000,27-4010,27-4011,27-3043.05,Audio and Video Technicians
27-0000,27-4000,27-4010,27-4012,27-3043.05,Broadcast Technicians
27-0000,27-4000,27-4010,27-4014,27-3043.05,Sound Engineering Technicians
27-0000,27-4000,27-4010,27-4015,27-3043.05,Lighting Technicians
27-0000,27-4000,27-4020,27-4015,27-3043.05,Photographers
27-0000,27-4000,27-4020,27-4021,27-3043.05,Photographers
27-0000,27-4000,27-4030,27-4021,27-3043.05,"Television, Video, and Film Camera Operators and Editors"
27-0000,27-4000,27-4030,27-4031,27-3043.05,"Camera Operators, Television, Video, and Film"
27-0000,27-4000,27-4030,27-4032,27-3043.05,Film and Video Editors
27-0000,27-4000,27-4090,27-4032,27-3043.05,Miscellaneous Media and Communication Equipment Workers
27-0000,27-4000,27-4090,27-4099,27-3043.05,"Media and Communication Equipment Workers, All Other"
29-0000,27-4000,27-4090,27-4099,27-3043.05,Healthcare Practitioners and Technical Occupations
29-0000,29-1000,27-4090,27-4099,27-3043.05,Healthcare Diagnosing or Treating Practitioners
29-0000,29-1000,29-1010,27-4099,27-3043.05,Chiropractors
29-0000,29-1000,29-1010,29-1011,27-3043.05,Chiropractors
29-0000,29-1000,29-1020,29-1011,27-3043.05,Dentists
29-0000,29-1000,29-1020,29-1021,27-3043.05,"Dentists, General"
29-0000,29-1000,29-1020,29-1022,27-3043.05,Oral and Maxillofacial Surgeons
29-0000,29-1000,29-1020,29-1023,27-3043.05,Orthodontists
29-0000,29-1000,29-1020,29-1024,27-3043.05,Prosthodontists
29-0000,29-1000,29-1020,29-1029,27-3043.05,"Dentists, All Other Specialists"
29-0000,29-1000,29-1030,29-1029,27-3043.05,Dietitians and Nutritionists
29-0000,29-1000,29-1030,29-1031,27-3043.05,Dietitians and Nutritionists
29-0000,29-1000,29-1040,29-1031,27-3043.05,Optometrists
29-0000,29-1000,29-1040,29-1041,27-3043.05,Optometrists
29-0000,29-1000,29-1050,29-1041,27-3043.05,Pharmacists
29-0000,29-1000,29-1050,29-1051,27-3043.05,Pharmacists
29-0000,29-1000,29-1070,29-1051,27-3043.05,Physician Assistants
29-0000,29-1000,29-1070,29-1071,27-3043.05,Physician Assistants
29-0000,29-1000,29-1070,29-1071,29-1071.01,Anesthesiologist Assistants
29-0000,29-1000,29-1080,29-1071,29-1071.01,Podiatrists
29-0000,29-1000,29-1080,29-1081,29-1071.01,Podiatrists
29-0000,29-1000,29-1120,29-1081,29-1071.01,Therapists
29-0000,29-1000,29-1120,29-1122,29-1071.01,Occupational Therapists
29-0000,29-1000,29-1120,29-1122,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
29-0000,29-1000,29-1120,29-1123,29-1122.01,Physical Therapists
29-0000,29-1000,29-1120,29-1124,29-1122.01,Radiation Therapists
29-0000,29-1000,29-1120,29-1125,29-1122.01,Recreational Therapists
29-0000,29-1000,29-1120,29-1126,29-1122.01,Respiratory Therapists
29-0000,29-1000,29-1120,29-1127,29-1122.01,Speech-Language Pathologists
29-0000,29-1000,29-1120,29-1128,29-1122.01,Exercise Physiologists
29-0000,29-1000,29-1120,29-1129,29-1122.01,"Therapists, All Other"
29-0000,29-1000,29-1120,29-1129,29-1129.01,Art Therapists
29-0000,29-1000,29-1120,29-1129,29-1129.02,Music Therapists
29-0000,29-1000,29-1130,29-1129,29-1129.02,Veterinarians
29-0000,29-1000,29-1130,29-1131,29-1129.02,Veterinarians
29-0000,29-1000,29-1140,29-1131,29-1129.02,Registered Nurses
29-0000,29-1000,29-1140,29-1141,29-1129.02,Registered Nurses
29-0000,29-1000,29-1140,29-1141,29-1141.01,Acute Care Nurses
29-0000,29-1000,29-1140,29-1141,29-1141.02,Advanced Practice Psychiatric Nurses
29-0000,29-1000,29-1140,29-1141,29-1141.03,Critical Care Nurses
29-0000,29-1000,29-1140,29-1141,29-1141.04,Clinical Nurse Specialists
29-0000,29-1000,29-1150,29-1141,29-1141.04,Nurse Anesthetists
29-0000,29-1000,29-1150,29-1151,29-1141.04,Nurse Anesthetists
29-0000,29-1000,29-1160,29-1151,29-1141.04,Nurse Midwives
29-0000,29-1000,29-1160,29-1161,29-1141.04,Nurse Midwives
29-0000,29-1000,29-1170,29-1161,29-1141.04,Nurse Practitioners
29-0000,29-1000,29-1170,29-1171,29-1141.04,Nurse Practitioners
29-0000,29-1000,29-1180,29-1171,29-1141.04,Audiologists
29-0000,29-1000,29-1180,29-1181,29-1141.04,Audiologists
29-0000,29-1000,29-1210,29-1181,29-1141.04,Physicians
29-0000,29-1000,29-1210,29-1211,29-1141.04,Anesthesiologists
29-0000,29-1000,29-1210,29-1212,29-1141.04,Cardiologists
29-0000,29-1000,29-1210,29-1213,29-1141.04,Dermatologists
29-0000,29-1000,29-1210,29-1214,29-1141.04,Emergency Medicine Physicians
29-0000,29-1000,29-1210,29-1215,29-1141.04,Family Medicine Physicians
29-0000,29-1000,29-1210,29-1216,29-1141.04,General Internal Medicine Physicians
29-0000,29-1000,29-1210,29-1217,29-1141.04,Neurologists
29-0000,29-1000,29-1210,29-1218,29-1141.04,Obstetricians and Gynecologists
29-0000,29-1000,29-1210,29-1221,29-1141.04,"Pediatricians, General"
29-0000,29-1000,29-1210,29-1222,29-1141.04,"Physicians, Pathologists"
29-0000,29-1000,29-1210,29-1223,29-1141.04,Psychiatrists
29-0000,29-1000,29-1210,29-1224,29-1141.04,Radiologists
29-0000,29-1000,29-1210,29-1229,29-1141.04,"Physicians, All Other"
29-0000,29-1000,29-1210,29-1229,29-1229.01,Allergists and Immunologists
29-0000,29-1000,29-1210,29-1229,29-1229.02,Hospitalists
29-0000,29-1000,29-1210,29-1229,29-1229.03,Urologists
29-0000,29-1000,29-1210,29-1229,29-1229.04,Physical Medicine and Rehabilitation Physicians
29-0000,29-1000,29-1210,29-1229,29-1229.05,Preventive Medicine Physicians
29-0000,29-1000,29-1210,29-1229,29-1229.06,Sports Medicine Physicians
29-0000,29-1000,29-1240,29-1229,29-1229.06,Surgeons
29-0000,29-1000,29-1240,29-1241,29-1229.06,"Ophthalmologists, Except Pediatric"
29-0000,29-1000,29-1240,29-1242,29-1229.06,"Orthopedic Surgeons, Except Pediatric"
29-0000,29-1000,29-1240,29-1243,29-1229.06,Pediatric Surgeons
29-0000,29-1000,29-1240,29-1249,29-1229.06,"Surgeons, All Other"
29-0000,29-1000,29-1290,29-1249,29-1229.06,Miscellaneous Healthcare Diagnosing or Treating Practitioners
29-0000,29-1000,29-1290,29-1291,29-1229.06,Acupuncturists
29-0000,29-1000,29-1290,29-1292,29-1229.06,Dental Hygienists
29-0000,29-1000,29-1290,29-1299,29-1229.06,"Healthcare Diagnosing or Treating Practitioners, All Other"
