2010_eeo_tabulation_census_code,2010_eeo_tabulation_census_occupation_title,2010_soc_code,opm_series_category,opm_series_number,opm_series_title
2440,LIBRARY TECHNICIANS,25-4031,LIBRARY TECHNICIAN,GS-1411,Library Technician
2600,ARTISTS & RELATED WORKERS,27-1010,GENERAL ARTS  INFORMATION,GS-1001,Arts and Information Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Administrative Manager
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,ADMINISTRATIVE OFFICER,GS-0341,Administrative Officer
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Administrative Specialist
100,ADMINISTRATIVE SERVICES MANAGERS,11-,SUPPORT SERVICES ADMINISTRATION,GS-0342,Support Services Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,ADMINISTRATIVE OFFICER,GS-0341,Administrative Assistant
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Executive Assistant
710,MANAGEMENT ANALYSTS,13-1111,MANAGEMENT  PROGRAM ANALYSIS,GS-0343,Program Analyst
710,MANAGEMENT ANALYSTS,13-1111,MANAGEMENT  PROGRAM ANALYSIS,GS-0343,Program Analysis Officer
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Program Specialist
710,MANAGEMENT ANALYSTS,13-1111,MANAGEMENT  PROGRAM ANALYSIS,GS-0343,Management Analyst
710,MANAGEMENT ANALYSTS,13-1111,MANAGEMENT  PROGRAM ANALYSIS,GS-0343,Management and Program Analyst
710,MANAGEMENT ANALYSTS,13-1111,MANAGEMENT  PROGRAM ANALYSIS,GS-0343,Management Analysis Officer
710,MANAGEMENT ANALYSTS,13-1111,MANAGEMENT  PROGRAM ANALYSIS,GS-0343,Management and Program Analysis Officer
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Configuration Management Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Project Analyst
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,ISO 9000 Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Internal Assessment Program Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Project Analysis Officer
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist (Network Services)
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist (Application Software)
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist (Operating Systems)
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist (Systems Analysis)
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist (Policy and Planning)
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist (Security)
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist (Data Management)
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist (Internet)
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist (Systems Administration)
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist (Customer Support)
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,Information Technology Specialist (Enterprise Architecture)
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,IT Project Manager
2900,"BROADCAST & SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER#",27-40,TELECOMMUNICATIONS,GS-0391,Telecommunications Specialist
2900,"BROADCAST & SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER#",27-40,TELECOMMUNICATIONS,GS-0391,Telecommunications Manager
1050,COMPUTER SUPPORT SPECIALISTS,15-1150,INFORMATION TECHNOLOGY MANAGEMENT,GS-2210,IT Program Manager
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,RESOURCE MANAGEMENT
0530,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, & FARM PRODUCTS",13-1023,CONTRACTING,GS-1102,Contract Negotiator
0530,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, & FARM PRODUCTS",13-1023,CONTRACTING,GS-1102,Contract Administrator
0530,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, & FARM PRODUCTS",13-1023,CONTRACTING,GS-1102,Contract Specialist
0530,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, & FARM PRODUCTS",13-1023,CONTRACTING,GS-1102,Contract Price/Cost Analyst
0530,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, & FARM PRODUCTS",13-1023,CONTRACTING,GS-1102,Contract Termination Specialist
0530,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, & FARM PRODUCTS",13-1023,CONTRACTING,GS-1102,Procurement Analyst
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Contract Program Support Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,GRANTS MANAGEMENT,GS-1109,Grants Management Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,GENERAL SUPPLY,GS-2001,General Supply Specialist
700,LOGISTICIANS,13-1081,INVENTORY MANAGEMENT,GS-2010,Inventory Management Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,DISTRIBUTION FACILITIES  STORAGE MANAGEMENT,GS-2030,Distribution Facilities Specialist
700,LOGISTICIANS,13-1081,SUPPLY PROGRAM MANAGEMENT,GS-2003,Supply Management Officer
700,LOGISTICIANS,13-1081,SUPPLY PROGRAM MANAGEMENT,GS-2003,Supply Systems Analyst
700,LOGISTICIANS,13-1081,SUPPLY PROGRAM MANAGEMENT,GS-2003,Supply Management Specialist
700,LOGISTICIANS,13-1081,INVENTORY MANAGEMENT,GS-2010,Inventory Management Officer
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,DISTRIBUTION FACILITIES  STORAGE MANAGEMENT,GS-2030,Storage Specialist
0410,"PROPERTY, REAL ESTATE, & COMMUNITY ASSOCIATION MANAGERS",ov-41,INDUSTRIAL PROPERTY MANAGEMENT,GS-1103,Industrial Property Management Specialist
0410,"PROPERTY, REAL ESTATE, & COMMUNITY ASSOCIATION MANAGERS",ov-41,INDUSTRIAL PROPERTY MANAGEMENT,GS-1103,Industrial Property Clearance Specialist
0410,"PROPERTY, REAL ESTATE, & COMMUNITY ASSOCIATION MANAGERS",ov-41,INDUSTRIAL PROPERTY MANAGEMENT,GS-1103,Industrial Property Management Officer
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,PROPERTY DISPOSAL,GS-1104,Property Disposal Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,PROPERTY DISPOSAL,GS-1104,Property Disposal Officer
4920#,REAL ESTATE BROKERS AND SALES AGENTS#,41-9020,REALTY,GS-1170,Realty Specialist
0410,"PROPERTY, REAL ESTATE, & COMMUNITY ASSOCIATION MANAGERS",ov-41,BUILDING MANAGEMENT,GS-1176,Building Manager
0410,"PROPERTY, REAL ESTATE, & COMMUNITY ASSOCIATION MANAGERS",ov-41,BUILDING MANAGEMENT,GS-1176,Building Management Specialist
4920#,REAL ESTATE BROKERS AND SALES AGENTS#,41-9020,REALTY,GS-1170,Realty Officer
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,TRANSPORTATION SPECIALIST,GS-2101,Transportation Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,TRAFFIC MANAGEMENT,GS-2130,Traffic Management Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,TRANSPORTATION OPERATIONS,GS-2150,Transportation Operations Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,TRAFFIC MANAGEMENT,GS-2130,Traffic Manager
0950,"FINANCIAL SPECIALISTS, ALL OTHER",13-2099,FINANCIAL MANAGEMENT,GS-0505,Financial Manager
800,ACCOUNTANTS & AUDITORS,13-2011,ACCOUNTING,GS-0510,Accountant
800,ACCOUNTANTS & AUDITORS,13-2011,ACCOUNTING,GS-0510,System Accountant
800,ACCOUNTANTS & AUDITORS,13-2011,ACCOUNTING,GS-0510,Cost Accountant
800,ACCOUNTANTS & AUDITORS,13-2011,ACCOUNTING,GS-0510,Staff Accountant
800,ACCOUNTANTS & AUDITORS,13-2011,ACCOUNTING,GS-0510,Accounting Officer
800,ACCOUNTANTS & AUDITORS,13-2011,AUDITING,GS-0511,Auditor
820,BUDGET ANALYSTS,13-2031,BUDGET ANALYSIS,GS-0560,Budget Analyst
820,BUDGET ANALYSTS,13-2031,BUDGET ANALYSIS,GS-0560,Budget Officer
0950,"FINANCIAL SPECIALISTS, ALL OTHER",13-2099,FINANCIAL ADMINISTRATION  PROGRAM,GS-0501,Resources Analyst
0950,"FINANCIAL SPECIALISTS, ALL OTHER",13-2099,FINANCIAL ADMINISTRATION  PROGRAM,GS-0501,Financial Management Specialist
0950,"FINANCIAL SPECIALISTS, ALL OTHER",13-2099,FINANCIAL ADMINISTRATION  PROGRAM,GS-0501,Resources Manager
0950,"FINANCIAL SPECIALISTS, ALL OTHER",13-2099,FINANCIAL ADMINISTRATION  PROGRAM,GS-0501,Resources Executive
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Director of Human Resources
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Officer
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Assistant Director of Human Resources
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Assistant Human Resources Officer
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist (Recruitment)
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist (Recruitment and Placement)
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist (Placement)
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist (Classification)
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist (Compensation)
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist (Human Resource Development)
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist (Labor Relations)
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist (Employee Relations)
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist (Information Systems)
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist (Employee Benefits)
136,HUMAN RESOURCES MANAGERS,21-,HUMAN RESOURCES MANAGEMENT,GS-0201,Human Resources Specialist (Performance Management)
2600,ARTISTS & RELATED WORKERS,27-1010,GENERAL ARTS  INFORMATION,GS-1001,Public Affairs Program Manager
2600,ARTISTS & RELATED WORKERS,27-1010,GENERAL ARTS  INFORMATION,GS-1001,Public Affairs Officer
2825,PUBLIC RELATIONS SPECIALISTS,27-3031,PUBLIC AFFAIRS,GS-1035,Public Affairs Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Media Relations Specialist
2600,ARTISTS & RELATED WORKERS,27-1010,GENERAL ARTS  INFORMATION,GS-1001,Protocol Specialist
2600,ARTISTS & RELATED WORKERS,27-1010,GENERAL ARTS  INFORMATION,GS-1001,Protocol Officer
2600,ARTISTS & RELATED WORKERS,27-1010,GENERAL ARTS  INFORMATION,GS-1001,Community Outreach Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,GOVERNMENT INFORMATION,GS-0306,Government Information Specialist (FOIA)
565,COMPLIANCE OFFICERS,13-1041,EQUAL EMPLOYMENT OPPORTUNITY,GS-0260,Equal Employment Specialist
565,COMPLIANCE OFFICERS,13-1041,EQUAL EMPLOYMENT OPPORTUNITY,GS-0260,Equal Employment Manager
1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",19-30,CIVIL RIGHTS ANALYSIS,GS-0160,Civil Rights Analyst
565,COMPLIANCE OFFICERS,13-1041,EQUAL OPPORTUNITY COMPLIANCE,GS-0360,Equal Opportunity Specialist
1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",19-30,SOCIAL SCIENCE,GS-0101,Social Scientist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist (Aerospace)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist (Electrical)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist (Electronics)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist (Mechanical)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist (Materials and Processes)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist (Chemicals)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist (Preservation and Packaging)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist (Metrology)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist (Computer Software)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,QUALITY ASSURANCE,GS-1910,Quality Assurance Specialist (Aircraft)
2840,TECHNICAL WRITERS,27-3042,TECHNICAL WRITING  EDITING,GS-1083,Technical Writer-Editor
2840,TECHNICAL WRITERS,27-3042,TECHNICAL WRITING  EDITING,GS-1083,Technical Writer
2850,WRITERS & AUTHORS,27-3043,WRITING  EDITING,GS-1082,Writer-Editor
2850,WRITERS & AUTHORS,27-3043,WRITING  EDITING,GS-1082,Editor
2430,LIBRARIANS,25-4021,LIBRARIAN,GS-1410,Librarian
2440,LIBRARY TECHNICIANS,25-4031,TECHNICIAN INFORMATION SERVICES,GS-1412,Technical Information Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Documentation Management Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Communication Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,RECORDS AND INFORMATION MANAGEMENT,GS-0308,INFORMATION MANAGEME
2100,"LAWYERS, & JUDGES, MAGISTRATES, & OTHER JUDICIAL WORKERS ",23-10,GENERAL ATTORNEY,GS-0905,Attorney-Adviser
2100,"LAWYERS, & JUDGES, MAGISTRATES, & OTHER JUDICIAL WORKERS ",23-10,LAW CLERK,GS-0904,Law Clerk
2100,"LAWYERS, & JUDGES, MAGISTRATES, & OTHER JUDICIAL WORKERS ",23-10,GENERAL ATTORNEY,GS-0905,Attorney Adviser (Contract)
2100,"LAWYERS, & JUDGES, MAGISTRATES, & OTHER JUDICIAL WORKERS ",23-10,GENERAL ATTORNEY,GS-0905,General Attorney
2100,"LAWYERS, & JUDGES, MAGISTRATES, & OTHER JUDICIAL WORKERS ",23-10,GENERAL ATTORNEY,GS-0905,Attorney-Adviser (General)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Legislative Affairs Specialist
2100,"LAWYERS, & JUDGES, MAGISTRATES, & OTHER JUDICIAL WORKERS ",23-10,PATENT ATTORNEY,GS-1222,Patent Attorney
2160,MISCELLANEOUS LEGAL SUPPORT WORKERS,23-2090,PATENT ADVISER,GS-1221,Patent Adviser
2145,PARALEGALS & LEGAL ASSISTANTS,23-2011,PARALEGAL SPECIALIST,GS-0950,Paralegal Specialist
2160,MISCELLANEOUS LEGAL SUPPORT WORKERS,23-2090,GENERAL LEGAL  KINDRED ADMINISTRATION,GS-0901,Legal Administrative Specialist
2340,OTHER TEACHERS & INSTRUCTORS,25-3000,GENERAL EDUCATION  TRAINING,GS-1701,Education and Training Specialist
2340,OTHER TEACHERS & INSTRUCTORS,25-3000,GENERAL EDUCATION  TRAINING,GS-1701,Education Specialist
2550,"OTHER EDUCATION, TRAINING & LIBRARY WORKERS",25-90,EDUCATIONAL PROGRAM,GS-1720,Education Program Specialist
2340,OTHER TEACHERS & INSTRUCTORS,25-3000,GENERAL EDUCATION  TRAINING,GS-1701,Education and Training Officer
2340,OTHER TEACHERS & INSTRUCTORS,25-3000,TRAINING INSTRUCTION,GS-1712,Training Specialist
2550,"OTHER EDUCATION, TRAINING & LIBRARY WORKERS",25-90,INSTRUCTIONAL SYSTEMS,GS-1750,Instructional Systems Specialist
2630,DESIGNERS,27-1020,EXHIBITS SPECIALIST,GS-1010,Exhibits Specialist
2630,DESIGNERS,27-1020,VISUAL INFORMATION,GS-1084,Visual Information Specialist
2710,PRODUCERS & DIRECTORS,27-2012,AUDIOVISUAL PRODUCTION,GS-1071,Audiovisual Production Specialist
2710,PRODUCERS & DIRECTORS,27-2012,AUDIOVISUAL PRODUCTION,GS-1071,Producer
3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS,29-9000,SAFETY  OCCUPATIONAL HEALTH MANAGEMENT,GS-0018,Safety and Occupational Health Specialist
3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS,29-9000,SAFETY  OCCUPATIONAL HEALTH MANAGEMENT,GS-0018,Safety and Occupational Health Manager
9410,TRANSPORTATION INSPECTORS,53-6051,AVIATION SAFETY,GS-1825,Aviation Safety Inspector
6830,"EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, & BLASTERS",47-5031,EXPLOSIVES SAFETY,GS-0017,Explosives Safety Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,SECURITY ADMINISTRATION,GS-0080,Security Officer
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,SECURITY ADMINISTRATION,GS-0080,Personnel Security Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,SECURITY ADMINISTRATION,GS-0080,Physical Security Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,SECURITY ADMINISTRATION,GS-0080,Industrial Security Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,SECURITY ADMINISTRATION,GS-0080,Security Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,SECURITY ADMINISTRATION,GS-0080,Information Security Specialist
1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",19-30,INTELLIGENCE,GS-0132,Intelligence Operations Specialist
1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",19-30,INTELLIGENCE,GS-0132,Intelligence Research Specialist
3820,DETECTIVES & CRIMINAL INVESTIGATORS,33-3021,GENERAL INVESTIGATING,GS-1810,Investigator
3820,DETECTIVES & CRIMINAL INVESTIGATORS,33-3021,CRIMINAL INVESTIGATING,GS-1811,Criminal Investigator
565,COMPLIANCE OFFICERS,13-1041,GENERAL INSPECTION INVESTIGATION ENFORCEMENT  COMPLIANCE,GS-1801,"Inspection, Investigation,  Enforcement and Compliance Specialist"
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Senior Executive (Administrative)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Administrative Program Manager
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Administrative Project Manager
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,PROGRAM MANAGEMENT,GS-0340,Program Manager
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,GENERAL BUSINESS  INDUSTRY,GS-1101,Business Development Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,GENERAL BUSINESS  INDUSTRY,GS-1101,Manufacturing Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,INDUSTRIAL SPECIALIST,GS-1150,Industrial Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Business Management Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Operations Support Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,TRADE SPECIALIST,GS-1140,International Trade Specialist
0630,HUMAN RESOURCES WORKERS,13-1070,WORKFORCE DEVELOPMENT,GS-0142,Workforce Development Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Workforce Planning Analyst
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Workforce Planning Officer
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Exchange Operations Manager
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,EQUIPMENT FACILITIES  SERVICES,GS-1601,"Equipment, Facilities, and Services Specialist"
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,EQUIPMENT FACILITIES  SERVICES,GS-1601,Facilities Management Officer
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,FACILITY OPERATIONS,GS-1640,Facility Operations Specialist
100,ADMINISTRATIVE SERVICES MANAGERS,11-,PRINTING SERVICES,GS-1654,Printing Services Specialist
100,ADMINISTRATIVE SERVICES MANAGERS,11-,PRINTING SERVICES,GS-1654,Printing Officer
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,EQUIPMENT SERVICES,GS-1670,Equipment Specialist
425,EMERGENCY MANAGEMENT DIRECTORS,ov-61,EMERGENCY MANAGEMENT,GS-0089,Emergency Management Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,EQUIPMENT FACILITIES  SERVICES,GS-1601,Fabrication Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,EQUIPMENT FACILITIES  SERVICES,GS-1601,Test Support Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Expert (Administrative)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Consultant (Administrative)
2400,"ARCHIVISTS, CURATORS & MUSEUM TECHNICIANS",25-4010,ARCHIVIST,GS-1420,Archivist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,International Relations Specialist
1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS & SOCIOLOGISTS#",19-30,HISTORY,GS-0170,Historian
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Community Relations Specialist
700,LOGISTICIANS,13-1081,LOGISTICS MANAGEMENT,GS-0346,Logistics Management Specialist
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,MISCELLANEOUS ADMINISTRATION  PROGRAM,GS-0301,Presidential Management Fellow
1740,ENVIRONMENTAL SCIENTISTS & GEOSCIENTISTS,19-2040,ENVIRONMENTAL PROTECTION SPECIALIST,GS-0028,Environmental Protection Specialist
4010,FIRST-LINE SUPERVISORS OF FOOD PREPARATION & SERVING WORKERS,35-1012,FOOD SERVICES,GS-1667,Food Services Specialist
9030,AIRCRAFT PILOTS & FLIGHT ENGINEERS,53-2010,AIRCRAFT OPERATION,GS-2181,Aircraft Pilot
9030,AIRCRAFT PILOTS & FLIGHT ENGINEERS,53-2010,AIRCRAFT OPERATION,GS-2181,Airplane Pilot
1840,URBAN & REGIONAL PLANNERS,19-3051,COMMUNITY PLANNING,GS-0020,Community Planner
