Master Task List,Unnamed: 1,Click to return to the Table of Contents,Unnamed: 3
T0354,Coordinate and manage the overall service provided to a customer end-to-end.,,
T0355,Coordinate with internal and external subject matter experts to ensure existing qualification standards reflect organizational functional requirements and meet industry standards.,,
T0356,Coordinate with organizational manpower stakeholders to ensure appropriate allocation and distribution of human capital assets.,,
T0357,Create interactive learning exercises to create an effective learning environment.,,
T0358,Design and develop system administration and management functionality for privileged access users.,,
T0359,"Design, implement, test, and evaluate secure interfaces between information systems, physical systems, and/or embedded technologies.",,
T0360,Determine the extent of threats and recommend courses of action or countermeasures to mitigate risks.,,
T0361,Develop and facilitate data-gathering methods.,,
T0362,Develop and implement standardized position descriptions based on established cyber work roles.,,
T0363,"Develop and review recruiting, hiring, and retention procedures in accordance with current HR policies.",,
T0364,Develop cyber career field classification structure to include establishing career field entry requirements and other nomenclature such as codes and identifiers.,,
T0365,Develop or assist in the development of training policies and protocols for cyber training.,,
T0366,Develop strategic insights from large data sets.,,
T0367,Develop the goals and objectives for cyber curriculum.,,
T0368,Ensure that cyber career fields are managed in accordance with organizational HR policies and directives.,,
T0369,"Ensure that cyber workforce management policies and processes comply with legal and organizational requirements regarding equal opportunity, diversity, and fair hiring/employment practices.",,
T0370,Ensure that appropriate Service-Level Agreements (SLAs) and underpinning contracts have been defined that clearly set out for the customer a description of the service and the measures for monitoring the service.,,
T0371,"Establish acceptable limits for the software application, network, or system.",,
T0372,"Establish and collect metrics to monitor and validate cyber workforce readiness including analysis of cyber workforce data to assess the status of positions identified, filled, and filled with qualified personnel.",,
T0373,Establish and oversee waiver processes for cyber career field entry and training qualification requirements.,,
T0374,"Establish cyber career paths to allow career progression, deliberate development, and growth within and between cyber career fields.",,
T0375,"Establish manpower, personnel, and qualification data element standards to support cyber workforce management and reporting requirements.",,
T0376,"Establish, resource, implement, and assess cyber workforce management programs in accordance with organizational requirements.",,
T0377,Gather feedback on customer satisfaction and internal service performance to foster continual improvement.,,
T0378,Incorporates risk-driven systems maintenance updates process to address system deficiencies (periodically and out of cycle).,,
T0379,"Manage the internal relationship with information technology (IT) process owners supporting the service, assisting with the definition and agreement of Operating Level Agreements (OLAs).",,
T0380,"Plan instructional strategies such as lectures, demonstrations, interactive exercises, multimedia presentations, video courses, web-based courses for most effective learning environment in conjunction with educators and trainers.",,
T0381,Present technical information to technical and nontechnical audiences.,,
T0382,Present data in creative formats.,,
T0383,Program custom algorithms.,,
T0384,"Promote awareness of cyber policy and strategy as appropriate among management and ensure sound principles are reflected in the organization's mission, vision, and goals.",,
T0385,Provide actionable recommendations to critical stakeholders based on data analysis and findings.,,
T0386,Provide criminal investigative support to trial counsel during the judicial process. ,,
T0387,Review and apply cyber career field qualification standards.,,
T0388,Review and apply organizational policies related to or influencing the cyber workforce.,,
T0389,"Review service performance reports identifying any significant issues and variances, initiating, where necessary, corrective actions and ensuring that all outstanding issues are followed up.",,
T0390,Review/Assess cyber workforce effectiveness to adjust skill and/or qualification standards.,,
T0391,Support integration of qualified cyber workforce personnel into information systems life cycle development processes.,,
T0392,"Utilize technical documentation or resources to implement a new mathematical, data science, or computer science method.",,
T0393,Validate specifications and requirements for testability.,,
T0394,"Work with other service managers and product owners to balance and prioritize services to meet overall customer requirements, constraints, and objectives.",,
T0395,Write and publish after action reviews.,,
T0396,Process image with appropriate tools depending on analyst’s goals.,,
T0397,Perform Windows registry analysis. ,,
T0398,Perform file and registry monitoring on the running system after identifying intrusion via dynamic analysis. ,,
T0399,"Enter media information into tracking database (e.g., Product Tracker Tool) for digital media that has been acquired. ",,
T0400,Correlate incident data and perform cyber defense reporting. ,,
T0401,"Maintain deployable cyber defense toolkit (e.g., specialized cyber defense software/hardware) to support Incident Response Team mission.",,
T0402,Effectively allocate storage capacity in the design of data management systems.,,
T0403,"Read, interpret, write, modify, and execute simple scripts (e.g., Perl, VBScript) on Windows and UNIX systems (e.g., those that perform tasks such as: parsing large data files, automating manual tasks, and fetching/processing remote data).",,
T0404,"Utilize different programming languages to write code, open files, read files, and write output to different files.",,
T0405,"Utilize open source language such as R and apply quantitative techniques (e.g., descriptive and inferential statistics, sampling, experimental design, parametric and non-parametric tests of difference, ordinary least squares regression, general line).",,
T0406,Ensure that design and development activities are properly documented (providing a functional description of implementation) and updated as necessary.,,
T0407,Participate in the acquisition process as necessary.,,
T0408,"Interpret and apply applicable laws, statutes, and regulatory documents and integrate into policy.",,
T0409,"Troubleshoot prototype design and process issues throughout the product design, development, and pre-launch phases.",,
T0410,Identify functional- and security-related features to find opportunities for new capability development to exploit or mitigate vulnerabilities.,,
T0411,Identify and/or develop reverse engineering tools to enhance capabilities and detect vulnerabilities.,,
T0412,Conduct import/export reviews for acquiring systems and software.,,
T0413,"Develop data management capabilities (e.g., cloud-based, centralized cryptographic key management) to include support to the mobile workforce.",,
T0414,"Develop supply chain, system, network, performance, and cybersecurity requirements.",,
T0415,"Ensure that supply chain, system, network, performance, and cybersecurity requirements are included in contract language and delivered.",,
T0416,Enable applications with public keying by leveraging existing public key infrastructure (PKI) libraries and incorporating certificate management and encryption functionalities when appropriate.,,
T0417,"Identify and leverage the enterprise-wide security services while designing and developing secure applications (e.g., Enterprise PKI, Federated Identity server, Enterprise Antivirus solution) when appropriate.",,
T0418,"Install, update, and troubleshoot systems/servers.",,
T0419,"Acquire and maintain a working knowledge of constitutional issues which arise in relevant laws, regulations, policies, agreements, standards, procedures, or other issuances.",,
T0420,"Administer test bed(s), and test and evaluate applications, hardware infrastructure, rules/signatures, access controls, and configurations of platforms managed by service provider(s).",,
T0421,"Manage the indexing/cataloguing, storage, and access of explicit organizational knowledge (e.g., hard copy documents, digital files).",,
T0422,"Implement data management standards, requirements, and specifications.",,
T0423,Analyze computer-generated threats for counter intelligence or criminal activity. ,,
T0424,Analyze and provide information to stakeholders that will support the development of security application or modification of an existing security application.,,
T0425,Analyze organizational cyber policy.,,
T0426,"Analyze the results of software, hardware, or interoperability testing.",,
T0427,Analyze user needs and requirements to plan architecture.,,
T0428,Analyze security needs and software requirements to determine feasibility of design within time and cost constraints and security mandates.,,
T0429,Assess policy needs and collaborate with stakeholders to develop policies to govern cyber activities.,,
T0430,Gather and preserve evidence used on the prosecution of computer crimes.,,
T0431,"Check system hardware availability, functionality, integrity, and efficiency.",,
T0432,"Collect and analyze intrusion artifacts (e.g., source code, malware, and system configuration) and use discovered data to enable mitigation of potential cyber defense incidents within the enterprise.",,
T0433,"Conduct analysis of log files, evidence, and other information to determine best methods for identifying the perpetrator(s) of a network intrusion or other crimes.",,
T0434,"Conduct framing of pleadings to properly identify alleged violations of law, regulations, or policy/guidance. ",,
T0435,"Conduct periodic system maintenance including cleaning (both physically and electronically), disk checks, routine reboots, data dumps, and testing.",,
T0436,Conduct trial runs of programs and software applications to ensure that the desired information is produced and instructions and security levels are correct. ,,
T0437,Correlate training and learning to business or mission requirements.,,
T0438,"Create, edit, and manage network access control lists on specialized cyber defense systems (e.g., firewalls and intrusion prevention systems).",,
T0439,"Detect and analyze encrypted data, stenography, alternate data streams and other forms of concealed data.",,
T0440,Capture and integrate essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event.,,
T0441,Define and integrate current and future mission environments.,,
T0442,Create training courses tailored to the audience and physical environment.,,
T0443,Deliver training courses tailored to the audience and physical/virtual environments.,,
T0444,"Apply concepts, procedures, software, equipment, and/or technology applications to students.",,
T0445,"Design/integrate a cyber strategy that outlines the vision, mission, and goals that align with the organization’s strategic plan.",,
T0446,"Design, develop, integrate, and update system security measures that provide confidentiality, integrity, availability, authentication, and non-repudiation.",,
T0447,"Design hardware, operating systems, and software applications to adequately address requirements.",,
T0448,Develop enterprise architecture or system components required to meet user needs.,,
T0449,Design to security requirements to ensure requirements are met for all systems and/or applications.,,
T0450,Design training curriculum and course content based on requirements.,,
T0451,Participate in development of training curriculum and course content.,,
T0452,"Design, build, implement, and maintain a knowledge management framework that provides end-users access to the organization’s intellectual capital.",,
T0453,Determine and develop leads and identify sources of information to identify and/or prosecute the responsible parties to an intrusion or other crimes.,,
T0454,Define baseline security requirements in accordance with applicable guidelines.,,
T0455,"Develop software system testing and validation procedures, programming, and documentation.",,
T0456,Develop secure software testing and validation procedures.,,
T0457,"Develop system testing and validation procedures, programming, and documentation.",,
T0458,Comply with organization systems administration standard operating procedures.,,
T0459,Implement data mining and data warehousing applications. ,,
T0460,Develop and implement data mining and data warehousing programs.,,
T0461,Implement and enforce local network usage policies and procedures.,,
T0462,Develop procedures and test fail-over for system operations transfer to an alternate site based on system availability requirements.,,
T0463,Develop cost estimates for new or modified system(s).,,
T0464,Develop detailed design documentation for component and interface specifications to support system design and development.,,
T0465,Develop guidelines for implementation.,,
T0466,"Develop mitigation strategies to address cost, schedule, performance, and security risks.",,
T0467,"Ensure that training meets the goals and objectives for cybersecurity training, education, or awareness.",,
T0468,"Diagnose and resolve customer reported system incidents, problems, and events.",,
T0469,Analyze and report organizational security posture trends.,,
T0470,Analyze and report system security posture trends.,,
T0471,"Document original condition of digital and/or associated evidence (e.g., via digital photographs, written reports, hash function checking).",,
T0472,"Draft, staff, and publish cyber policy.",,
T0473,Document and update as necessary all definition and architecture activities.,,
T0474,"Provide legal analysis and decisions to inspectors general, privacy officers, oversight and compliance personnel regarding compliance with cybersecurity policies and relevant legal and regulatory requirements.",,
T0475,Assess adequate access controls based on principles of least privilege and need-to-know.,,
T0476,"Evaluate the impact of changes to laws, regulations, policies, standards, or procedures.",,
T0477,Ensure the execution of disaster recovery and continuity of operations.,,
T0478,"Provide guidance on laws, regulations, policies, standards, or procedures to management, personnel, or clients.",,
T0479,"Employ information technology (IT) systems and digital storage media to solve, investigate, and/or prosecute cybercrimes and fraud committed against people and property. ",,
T0480,"Identify components or elements, allocate comprehensive functional components to include security functions, and describe the relationships between the elements.",,
T0481,"Identify and address cyber workforce planning and management issues (e.g. recruitment, retention, and training).",,
T0482,Make recommendations based on trend analysis for enhancements to software and hardware solutions to enhance customer experience.,,
T0483,"Identify potential conflicts with implementation of any cyber defense tools (e.g., tool and signature testing and optimization).",,
T0484,"Determine the protection needs (i.e., security controls) for the information system(s) and network(s) and document appropriately.",,
T0485,"Implement security measures to resolve vulnerabilities, mitigate risks, and recommend security changes to system or system components as needed.",,
T0486,"Implement Risk Management Framework (RMF)/Security Assessment and Authorization (SA&A) requirements for dedicated cyber defense systems within the enterprise, and document and maintain records for them.",,
T0487,"Facilitate implementation of new or revised laws, regulations, executive orders, policies, standards, or procedures.",,
T0488,Implement designs for new or existing system(s).,,
T0489,"Implement system security measures in accordance with established procedures to ensure confidentiality, integrity, availability, authentication, and non-repudiation.",,
T0490,Install and configure database management systems and software.,,
T0491,"Install and configure hardware, software, and peripheral equipment for system users in accordance with organizational standards.",,
T0492,Ensure the integration and implementation of Cross-Domain Solutions (CDS) in a secure environment. ,,
T0493,"Lead and oversee budget, staffing, and contracting.",,
T0494,"Administer accounts, network rights, and access to systems and equipment.",,
T0495,"Manage Accreditation Packages (e.g., ISO/IEC 15026-2).",,
T0496,Perform asset management/inventory of information technology (IT) resources.,,
T0497,Manage the information technology (IT) planning process to ensure that developed solutions meet customer requirements.,,
T0498,"Manage system/server resources including performance, capacity, availability, serviceability, and recoverability.",,
T0499,Mitigate/correct security deficiencies identified during security/certification testing and/or recommend risk acceptance for the appropriate senior leader or authorized representative.,,
T0500,"Modify and maintain existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",,
T0501,Monitor and maintain system/server configuration.,,
T0502,Monitor and report client-level computer system performance.,,
T0503,"Monitor external data sources (e.g., cyber defense vendor sites, Computer Emergency Response Teams, Security Focus) to maintain currency of cyber defense threat condition and determine which security issues may have an impact on the enterprise.",,
T0504,Assess and monitor cybersecurity related to system implementation and testing practices.,,
T0505,"Monitor the rigorous application of cyber policies, principles, and practices in the delivery of planning and management services.",,
T0506,Seek consensus on proposed policy changes from stakeholders.,,
T0507,"Oversee installation, implementation, configuration, and support of system components.",,
T0508,Verify minimum security requirements are in place for all applications.,,
T0509,Perform an information security risk assessment.,,
T0510,Coordinate incident response functions.,,
T0511,Perform developmental testing on systems under development.,,
T0512,Perform interoperability testing on systems exchanging electronic information with other systems.,,
T0513,Perform operational testing.,,
T0514,Diagnose faulty system/server hardware.,,
T0515,Perform repairs on faulty system/server hardware.,,
T0516,"Perform secure program testing, review, and/or assessment to identify potential flaws in codes and mitigate vulnerabilities.",,
T0517,Integrate results regarding the identification of gaps in security architecture.,,
T0518,Perform security reviews and identify security gaps in architecture.,,
T0519,"Plan and coordinate the delivery of classroom techniques and formats (e.g., lectures, demonstrations, interactive exercises, multimedia presentations) for the most effective learning environment.",,
T0520,"Plan non-classroom educational techniques and formats (e.g., video courses, mentoring, web-based courses).",,
T0521,Plan implementation strategy to ensure that enterprise components can be integrated and aligned.,,
T0522,"Prepare legal and other relevant documents (e.g., depositions, briefs, affidavits, declarations, appeals, pleadings, discovery).",,
T0523,Prepare reports to document the investigation following legal standards and requirements.,,
T0524,Promote knowledge sharing between information owners/users through an organization’s operational processes and systems.,,
T0525,Provide enterprise cybersecurity and supply chain risk management guidance.,,
T0526,Provides cybersecurity recommendations to leadership based on significant threats and vulnerabilities.,,
T0527,Provide input to implementation plans and standard operating procedures as they relate to information systems security. ,,
T0528,"Provide input to implementation plans, standard operating procedures, maintenance documentation, and maintenance training materials",,
T0529,"Provide policy guidance to cyber management, staff, and users.",,
T0530,Develop a trend analysis and impact report.,,
T0531,Troubleshoot hardware/software interface and interoperability problems.,,
T0532,"Review forensic images and other data sources (e.g., volatile data) for recovery of potentially relevant information.",,
T0533,"Review, conduct, or participate in audits of cyber programs and projects.",,
T0534,"Conduct periodic reviews/revisions of course content for accuracy, completeness alignment, and currency (e.g., course content documents, lesson plans, student texts, examinations, schedules of instruction, and course descriptions).",,
T0535,Recommend revisions to curriculum and course content based on feedback from previous training sessions.,,
T0536,"Serve as an internal consultant and advisor in own area of expertise (e.g., technical, copyright, print media, electronic media).",,
T0537,Support the CIO in the formulation of cyber-related policies.,,
T0538,Provide support to test and evaluation activities.,,
T0539,"Test, evaluate, and verify hardware and/or software to determine compliance with defined specifications and requirements. ",,
T0540,Record and manage test data. ,,
T0541,Trace system requirements to design components and perform gap analysis.,,
T0542,Translate proposed capabilities into technical requirements.,,
T0543,"WITHDRAWN: Use data carving techniques (e.g., FTK-Foremost) to extract data for further analysis.",X,
T0544,"Verify stability, interoperability, portability, and/or scalability of system architecture.",,
T0545,Work with stakeholders to resolve computer security incidents and vulnerability compliance.,,
T0546,"Write and publish cyber defense recommendations, reports, and white papers on incident findings to appropriate constituencies.",,
T0547,Research and evaluate available technologies and standards to meet customer requirements.,,
T0548,"Provide advice and input for Disaster Recovery, Contingency, and Continuity of Operations Plans.",,
T0549,"Perform technical (evaluation of technology) and nontechnical (evaluation of people and operations) risk and vulnerability assessments of relevant technology focus areas (e.g., local computing environment, network and infrastructure, enclave boundary, supporting infrastructure, and applications).",,
T0550,"Make recommendations regarding the selection of cost-effective security controls to mitigate risk (e.g., protection of information, systems and processes).",,
T0551,Draft and publish supply chain security and risk management documents.,,
T0552,Review and approve a supply chain security/risk management policy.,,
T0553,"Apply cybersecurity functions (e.g., encryption, access control, and identity management) to reduce exploitation opportunities.",,
T0554,Determine and document software patches or the extent of releases that would leave software vulnerable.,,
T0555,Document how the implementation of a new system or new interface between systems impacts the current and target environment including but not limited to security posture.,,
T0556,Assess and design security management functions as related to cyberspace.,,
T0557,Integrate key management functions as related to cyberspace.,,
T0558,Analyze user needs and requirements to plan and conduct system development.,,
T0559,"Develop designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations.",,
T0560,"Collaborate on cybersecurity designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information).",,
T0561,Accurately characterize targets.,,
T0562,Adjust collection operations or collection plan to address identified issues/challenges and to synchronize collections with overall operational requirements.,,
T0563,"Provide input to the analysis, design, development or acquisition of capabilities used for meeting objectives.",,
T0564,Analyze feedback to determine extent to which collection products and services are meeting requirements.,,
T0565,Analyze incoming collection requests.,,
T0566,"Analyze internal operational architecture, tools, and procedures for ways to improve performance.",,
T0567,Analyze target operational architecture for ways to gain access.,,
T0568,"Analyze plans, directives, guidance and policy for factors that would influence collection management's operational structure and requirement s (e.g., duration, scope, communication requirements, interagency/international agreements).",,
T0569,Answer requests for information.,,
T0570,Apply and utilize authorized cyber capabilities to enable access to targeted networks.,,
T0571,"Apply expertise in policy and processes to facilitate the development, negotiation, and internal staffing of plans and/or memorandums of agreement.",,
T0572,"Apply cyber collection, environment preparation and engagement expertise to enable new exploitation and/or continued collection operations, or in support of customer requirements.",,
T0573,Assess and apply operational environment factors and risks to collection management process.,,
T0574,"Apply and obey applicable statutes, laws, regulations and policies.",,
T0575,Coordinate for intelligence support to operational planning activities.,,
T0576,Assess all-source intelligence and recommend targets to support cyber operation objectives.,,
T0577,Assess efficiency of existing information exchange and management systems.,,
T0578,Assess performance of collection assets against prescribed specifications.,,
T0579,Assess target vulnerabilities and/or operational capabilities to determine course of action.,,
T0580,"Assess the effectiveness of collections in satisfying priority information gaps, using available capabilities and methods, and adjust collection strategies and collection requirements accordingly.",,
T0581,Assist and advise interagency partners in identifying and developing best practices for facilitating operational support to achievement of organization objectives.,,
T0582,Provide expertise to course of action development.,,
T0583,Provide subject matter expertise to the development of a common operational picture. ,,
T0584,Maintain a common intelligence picture.,,
T0585,Provide subject matter expertise to the development of cyber operations specific indicators.,,
T0586,"Assist in the coordination, validation, and management of all-source collection requirements, plans, and/or activities.",,
T0587,Assist in the development and refinement of priority information requirements.,,
T0588,Provide expertise to the development of measures of effectiveness and measures of performance.,,
T0589,Assist in the identification of intelligence collection shortfalls.,,
T0590,Enable synchronization of intelligence support plans across partner organizations as required.,,
T0591,Perform analysis for target infrastructure exploitation activities.,,
T0592,Provide input to the identification of cyber-related success criteria.,,
T0593,Brief threat and/or target current situations.,,
T0594,Build and maintain electronic target folders.,,
T0595,Classify documents in accordance with classification guidelines.,,
T0596,Close requests for information once satisfied.,,
T0597,Collaborate with intelligence analysts/targeting organizations involved in related areas.,,
T0598,Collaborate with development organizations to create and deploy the tools needed to achieve objectives.,,
T0599,"Collaborate with other customer, Intelligence and targeting organizations involved in related cyber areas.",,
T0600,Collaborate with other internal and external partner organizations on target access and operational issues.,,
T0601,"Collaborate with other team members or partner organizations to develop a diverse program of information materials (e.g., web pages, briefings, print materials).",,
T0602,Collaborate with customer to define information requirements.,,
T0603,"Communicate new developments, breakthroughs, challenges and lessons learned to leadership, and internal and external customers.",,
T0604,Compare allocated and available assets to collection demand as expressed through requirements.,,
T0605,Compile lessons learned from collection management activity's execution of organization collection objectives.,,
T0606,"Compile, integrate, and/or interpret all-source data for intelligence or vulnerability value with respect to specific targets.",,
T0607,Identify and conduct analysis of target communications to identify information essential to support operations.,,
T0608,"Conduct analysis of physical and logical digital technologies (e.g., wireless, SCADA, telecom) to identify potential avenues of access. ",,
T0609,Conduct access enabling of wireless computer and digital networks.,,
T0610,Conduct collection and processing of wireless computer and digital networks.,,
T0611,Conduct end-of-operations assessments.,,
T0612,Conduct exploitation of wireless computer and digital networks.,,
T0613,Conduct formal and informal coordination of collection requirements in accordance with established guidelines and procedures.,,
T0614,"Conduct independent in-depth target and technical analysis including target-specific information (e.g., cultural, organizational, political) that results in access.",,
T0615,Conduct in-depth research and analysis.,,
T0616,Conduct network scouting and vulnerability analyses of systems within a network.,,
T0617,Conduct nodal analysis.,,
T0618,Conduct on-net activities to control and exfiltrate data from deployed technologies.,,
T0619,"Conduct on-net and off-net activities to control, and exfiltrate data from deployed, automated technologies.",,
T0620,Conduct open source data collection via various online tools.,,
T0621,Conduct quality control to determine validity and relevance of information gathered about networks.,,
T0622,"Develop, review and implement all levels of planning guidance in support of cyber operations.",,
T0623,Conduct survey of computer and digital networks.,,
T0624,Conduct target research and analysis.,,
T0625,Consider efficiency and effectiveness of collection assets and resources if/when applied against priority information requirements.,,
T0626,Construct collection plans and matrixes using established guidance and procedures.,,
T0627,Contribute to crisis action planning for cyber operations.,,
T0628,Contribute to the development of the organization's decision support tools if necessary.,,
T0629,"Contribute to the development, staffing, and coordination of cyber operations policies, performance standards, plans and approval packages with appropriate internal and/or external decision makers.",,
T0630,Incorporate intelligence equities into the overall design of cyber operations plans.,,
T0631,Coordinate resource allocation of collection assets against prioritized collection requirements with collection discipline leads.,,
T0632,Coordinate inclusion of collection plan in appropriate documentation.,,
T0633,Coordinate target vetting with appropriate partners.,,
T0634,Re-task or re-direct collection assets and resources.,,
T0635,Coordinate with intelligence and cyber defense partners to obtain relevant essential information.,,
T0636,Coordinate with intelligence planners to ensure that collection managers receive information requirements.,,
T0637,Coordinate with the intelligence planning team to assess capability to satisfy assigned intelligence tasks.,,
T0638,"Coordinate, produce, and track intelligence requirements.",,
T0639,"Coordinate, synchronize and draft applicable intelligence sections of cyber operations plans.",,
T0640,Use intelligence estimates to counter potential target actions.,,
T0641,Create comprehensive exploitation strategies that identify exploitable technical or operational vulnerabilities.,,
T0642,"Maintain awareness of internal and external cyber organization structures, strengths, and employments of staffing and technology.",,
T0643,"Deploy tools to a target and utilize them once deployed (e.g., backdoors, sniffers).",,
T0644,Detect exploits against targeted networks and hosts and react accordingly.,,
T0645,"Determine course of action for addressing changes to objectives, guidance, and operational environment.",,
T0646,"Determine existing collection management webpage databases, libraries and storehouses.",,
T0647,"Determine how identified factors affect the tasking, collection, processing, exploitation and dissemination architecture's form and function.",,
T0648,"Determine indicators (e.g., measures of effectiveness) that are best suited to specific cyber operation objectives.",,
T0649,Determine organizations and/or echelons with collection authority over all accessible collection assets.,,
T0650,Determine what technologies are used by a given target.,,
T0651,Develop a method for comparing collection reports to outstanding requirements to identify information gaps.,,
T0652,Develop all-source intelligence targeting materials.,,
T0653,Apply analytic techniques to gain more target information.,,
T0654,Develop and maintain deliberate and/or crisis plans.,,
T0655,Develop and review specific cyber operations guidance for integration into broader planning activities.,,
T0656,Develop and review intelligence guidance for integration into supporting cyber operations planning and execution.,,
T0657,Develop coordinating instructions by collection discipline for each phase of an operation.,,
T0658,Develop cyber operations plans and guidance to ensure that execution and resource allocation decisions align with organization objectives.,,
T0659,Develop detailed intelligence support to cyber operations requirements.,,
T0660,Develop information requirements necessary for answering priority information requests.,,
T0661,Develop measures of effectiveness and measures of performance.,,
T0662,"Allocate collection assets based on leadership's guidance, priorities, and/or operational emphasis.",,
T0663,Develop munitions effectiveness assessment or operational assessment materials.,,
T0664,Develop new techniques for gaining and keeping access to target systems.,,
T0665,"Develop or participate in the development of standards for providing, requesting, and/or obtaining support from external partners to synchronize cyber operations.",,
T0666,"Develop or shape international cyber engagement strategies, policies, and activities to meet organization objectives.",,
T0667,Develop potential courses of action.,,
T0668,"Develop procedures for providing feedback to collection managers, asset managers, and processing, exploitation and dissemination centers.",,
T0669,"Develop strategy and processes for partner planning, operations, and capability development.",,
T0670,"Develop, implement, and recommend changes to appropriate planning procedures and policies.",,
T0671,"Develop, maintain, and assess cyber cooperation security agreements with external partners.",,
T0672,"Devise, document, and validate cyber operation strategy and planning documents.",,
T0673,Disseminate reports to inform decision makers on collection issues.,,
T0674,Disseminate tasking messages and collection plans.,,
T0675,Conduct and document an assessment of the collection results using established procedures.,,
T0676,Draft cyber intelligence collection and production requirements.,,
T0677,"Edit or execute simple scripts (e.g., Perl, VBScript) on Windows and UNIX systems.",,
T0678,Engage customers to understand customers’ intelligence needs and wants.,,
T0679,Ensure operational planning efforts are effectively transitioned to current operations.,,
T0680,Ensure that intelligence planning activities are integrated and synchronized with operational planning timelines.,,
T0681,"Establish alternative processing, exploitation and dissemination pathways to address identified issues or problems.",,
T0682,Validate the link between collection requests and critical information requirements and priority intelligence requirements of leadership.,,
T0683,"Establish processing, exploitation and dissemination management activity using approved guidance and/or procedures.",,
T0684,Estimate operational effects generated through cyber activities.,,
T0685,Evaluate threat decision-making processes.,,
T0686,Identify threat vulnerabilities.,,
T0687,Identify threats to Blue Force vulnerabilities.,,
T0688,Evaluate available capabilities against desired effects to recommend efficient solutions.,,
T0689,Evaluate extent to which collected information and/or produced intelligence satisfy information requests.,,
T0690,Evaluate intelligence estimates to support the planning cycle.,,
T0691,Evaluate the conditions that affect employment of available cyber intelligence capabilities.,,
T0692,Generate and evaluate the effectiveness of network analysis strategies.,,
T0693,Evaluate extent to which collection operations are synchronized with operational requirements.,,
T0694,Evaluate the effectiveness of collection operations against the collection plan.,,
T0695,Examine intercept-related metadata and content with an understanding of targeting significance.,,
T0696,"Exploit network devices, security devices, and/or terminals or environments using various methods or tools.",,
T0697,Facilitate access enabling by physical and/or wireless means.,,
T0698,"Facilitate continuously updated intelligence, surveillance, and visualization input to common operational picture managers.",,
T0699,Facilitate interactions between internal and external partner decision makers to synchronize and integrate courses of action in support of objectives.,,
T0700,Facilitate the sharing of “best practices” and “lessons learned” throughout the cyber operations community.,,
T0701,"Collaborate with developers, conveying target and technical knowledge in tool requirements submissions, to enhance tool development.",,
T0702,Formulate collection strategies based on knowledge of available intelligence discipline capabilities and gathering methods that align multi-discipline collection capabilities and accesses with targets and their observables.,,
T0703,"Gather and analyze data (e.g., measures of effectiveness) to determine effectiveness, and provide reporting for follow-on activities.",,
T0704,Incorporate cyber operations and communications security support plans into organization objectives.,,
T0705,Incorporate intelligence and counterintelligence to support plan development.,,
T0706,"Gather information about networks through traditional and alternative techniques, (e.g., social network analysis, call-chaining, traffic analysis.)",,
T0707,Generate requests for information.,,
T0708,"Identify threat tactics, and methodologies.",,
T0709,Identify all available partner intelligence capabilities and limitations supporting cyber operations.,,
T0710,"Identify and evaluate threat critical capabilities, requirements, and vulnerabilities.",,
T0711,"Identify, draft, evaluate, and prioritize relevant intelligence or information requirements.",,
T0712,Identify and manage security cooperation priorities with external partners.,,
T0713,Identify and submit intelligence requirements for the purposes of designating priority information requirements.,,
T0714,"Identify collaboration forums that can serve as mechanisms for coordinating processes, functions, and outputs with specified organizations and functional groups.",,
T0715,Identify collection gaps and potential collection strategies against targets. ,,
T0716,Identify coordination requirements and procedures with designated collection authorities.,,
T0717,Identify critical target elements.,,
T0718,Identify intelligence gaps and shortfalls.,,
T0719,Identify cyber intelligence gaps and shortfalls for cyber operational planning.,,
T0720,Identify gaps in our understanding of target technology and developing innovative collection approaches.,,
T0721,"Identify issues or problems that can disrupt and/or degrade processing, exploitation and dissemination architecture effectiveness.",,
T0722,Identify network components and their functionality to enable analysis and target development.,,
T0723,Identify potential collection disciplines for application against priority information requirements.,,
T0724,Identify potential points of strength and vulnerability within a network.,,
T0725,"Identify and mitigate risks to collection management ability to support the plan, operations and target cycle.",,
T0726,"Identify the need, scope, and timeframe for applicable intelligence environment preparation derived production.",,
T0727,"Identify, locate, and track targets via geospatial analysis techniques.",,
T0728,Provide input to or develop courses of action based on threat factors.,,
T0729,Inform external partners of the potential effects of new or revised policy and guidance on cyber operations partnering activities.,,
T0730,"Inform stakeholders (e.g., collection managers, asset managers, processing, exploitation and dissemination centers) of evaluation results using established procedures.",,
T0731,Initiate requests to guide tasking and assist with collection management.,,
T0732,Integrate cyber planning/targeting efforts with other organizations.,,
T0733,Interpret environment preparations assessments to determine a course of action.,,
T0734,Issue requests for information.,,
T0735,Lead and coordinate intelligence support to operational planning.,,
T0736,Lead or enable exploitation operations in support of organization objectives and target requirements.,,
T0737,Link priority collection requirements to optimal assets and resources.,,
T0738,"Maintain awareness of advancements in hardware and software technologies (e.g., attend training or conferences, reading) and their potential implications.",,
T0739,Maintain relationships with internal and external partners involved in cyber planning or related areas.,,
T0740,Maintain situational awareness and functionality of organic operational infrastructure.,,
